"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P05","Mucho",0.673,0.536,0.582,0.491,0.57,0.368,0.526
"P05","Bastante",0.234,0.338,0.242,0.213,0.318,0.368,0.263
"P05","Poco",0.057,0.099,0.108,0.052,0.09,0.157,0.16
"P05","Nada",0.025,0.026,0.051,0.188,0.015,0.024,0.027
"P05","No sabe",0.011,0.001,0.017,0.056,0.007,0.083,0.024
"P06","Siempre",0.262,0.299,0.328,0.34,0.322,0.231,0.222
"P06","Casi siempre",0.435,0.411,0.414,0.297,0.462,0.401,0.363
"P06","Casi nunca",0.252,0.262,0.172,0.055,0.19,0.291,0.345
"P06","Nunca, pero esta es una excepción",0.051,0.028,0.086,0.308,0.026,0.077,0.07
"P08","Unión por la Patria",0.775,0.13,0.16,0.094,0.194,0.129,0.013
"P08","Juntos por el Cambio",0.159,0.725,0.272,0.101,0.579,0.512,0.648
"P08","Liberales",0.015,0.064,0.526,0,0.032,0.041,0.107
"P08","Izquierda",0.03,0.014,0.002,0.749,0.04,0.022,0.012
"P08","Otro",0.006,0.027,0.012,0,0.068,0.131,0.03
"P08","No sabe",0.015,0.04,0.028,0.056,0.087,0.165,0.19
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.598,0.047,0.047,0.056,0.1,0.104,0.076
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.286,0.02,0.017,0.025,0.019,0,0
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.053,0.487,0.27,0,0.522,0.48,0.407
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.026,0.312,0,0.058,0.167,0.069,0.131
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.011,0.063,0.661,0.112,0.049,0.055,0.17
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.018,0,0.473,0.051,0.015,0.024
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.002,0.02,0.005,0.038,0.021,0.025,0.049
"P09","Otros",0.001,0.009,0,0.238,0.052,0.117,0
"P09","En blanco",0,0.006,0,0,0.014,0.084,0
"P09","No sabe",0.004,0.018,0,0,0.005,0.051,0.143
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.777,0.044,0.043,0.078,0.086,0.053,0.017
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.066,0.437,0.293,0.081,0.47,0.499,0.446
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.068,0.401,0.072,0.058,0.073,0.064,0.204
"P12","Ramiro Marra por la Libertad Avanza",0.039,0.033,0.5,0,0.025,0.051,0.052
"P12","Vanina Biasi por el Frente de Izquierda",0.033,0.053,0.031,0.415,0.046,0.015,0.029
"P12","Otros",0.005,0.004,0.032,0.108,0.198,0.063,0.034
"P12","En blanco",0.003,0.011,0.029,0.038,0.021,0.182,0.042
"P12","No sabe",0.009,0.017,0,0.222,0.081,0.073,0.176
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.48,0.082,0.069,0.054,0.102,0.064,0.151
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.315,0.054,0.057,0.209,0.068,0.047,0.031
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.062,0.382,0.376,0.025,0.358,0.397,0.394
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.057,0.285,0.056,0.058,0.187,0.123,0.131
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.122,0.389,0.096,0.167,0.107,0.101
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.007,0,0.255,0.04,0.023,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.004,0.014,0.022,0.215,0.007,0,0.031
"P18","Otros",0.006,0.022,0.015,0.03,0.051,0.129,0
