"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.657,0.52,0.53,0.545
"P05","Bastante",0.23,0.312,0.34,0.305
"P05","Poco",0.069,0.124,0.106,0.101
"P05","Nada",0.028,0.03,0.021,0.027
"P05","No sabe",0.016,0.014,0.003,0.022
"P06","Siempre",0.259,0.253,0.308,0.354
"P06","Casi siempre",0.417,0.435,0.43,0.368
"P06","Casi nunca",0.267,0.242,0.23,0.224
"P06","Nunca, pero esta es una excepción",0.057,0.07,0.032,0.054
"P08","Unión por la Patria",0.694,0.097,0.107,0.07
"P08","Juntos por el Cambio",0.197,0.556,0.709,0.676
"P08","Liberales",0.034,0.294,0.032,0.042
"P08","Izquierda",0.028,0.008,0.069,0.022
"P08","Otro",0.01,0.024,0.031,0.048
"P08","No sabe",0.037,0.021,0.052,0.142
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.542,0.013,0.072,0.043
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.217,0.01,0.045,0.033
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.046,0.51,0.444,0.479
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.098,0.082,0.315,0.195
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.048,0.351,0.013,0.046
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.025,0.003,0.057,0.026
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.002,0.012,0.01,0.052
"P09","Otros",0.008,0.012,0.018,0.031
"P09","En blanco",0.006,0,0.02,0
"P09","No sabe",0.008,0.007,0.006,0.095
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.608,0.035,0.104,0.075
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.095,0.447,0.383,0.467
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.153,0.193,0.288,0.25
"P12","Ramiro Marra por la Libertad Avanza",0.03,0.249,0.054,0.03
"P12","Vanina Biasi por el Frente de Izquierda",0.061,0.025,0.057,0.045
"P12","Otros",0.009,0.02,0.068,0.041
"P12","En blanco",0.022,0.014,0.028,0.01
"P12","No sabe",0.022,0.017,0.018,0.082
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.464,0.046,0.059,0.064
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.27,0.025,0.068,0.044
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.086,0.416,0.429,0.341
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.093,0.167,0.264,0.267
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.303,0.053,0.091
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.001,0.044,0.033
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.004,0.006,0.012,0.032
"P18","Otros",0.011,0.014,0.016,0.026
"P18","En blanco",0.003,0.012,0.038,0.02
"P18","No sabe",0.011,0.01,0.017,0.082
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.453,0.077,0.107,0.069
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.103,0.321,0.311,0.358
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.169,0.237,0.285,0.278
"P21","Ramiro Marra por la Libertad Avanza",0.037,0.226,0.053,0.084
"P21","Vanina Biasi por el Frente de Izquierda",0.109,0.023,0.063,0.034
"P21","Otros",0.074,0.041,0.048,0.011
"P21","En blanco",0.037,0.038,0.077,0.021
"P21","No sabe",0.018,0.037,0.056,0.145
"P25","Totalmente seguro",0.707,0.726,0.68,0.621
"P25","Bastante seguro",0.185,0.159,0.193,0.194
"P25","Algo seguro",0.08,0.086,0.062,0.069
"P25","Para nada seguro",0.028,0.029,0.065,0.116
"P26","Tiene Decidido que va a ir a votar",0.924,0.91,0.924,0.875
"P26","Tiene dudas sobre si va a ir a votar",0.05,0.043,0.063,0.066
"P26","Tiene Decidido que no va a ir a votar",0.026,0.047,0.013,0.059
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.76,0.04,0.074,0.058
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.088,0.545,0.639,0.627
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.042,0.353,0.02,0.035
