"var","categoria","Leandro Santoro por Unión por la Patria","Jorge Macri por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.699,0.505,0.598,0.573
"P05","Bastante",0.224,0.36,0.257,0.229
"P05","Poco",0.06,0.105,0.115,0.105
"P05","Nada",0.013,0.021,0.02,0.05
"P05","No sabe",0.004,0.009,0.01,0.043
"P06","Siempre",0.261,0.278,0.306,0.4
"P06","Casi siempre",0.45,0.463,0.285,0.351
"P06","Casi nunca",0.241,0.222,0.323,0.174
"P06","Nunca, pero esta es una excepción",0.048,0.037,0.086,0.075
"P08","Unión por la Patria",0.732,0.083,0.188,0.073
"P08","Juntos por el Cambio",0.168,0.731,0.303,0.438
"P08","Liberales",0.031,0.154,0.258,0.107
"P08","Izquierda",0.03,0.002,0.12,0.065
"P08","Otro",0.007,0.012,0.067,0.044
"P08","No sabe",0.032,0.018,0.064,0.273
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.538,0.013,0.18,0.097
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.251,0.007,0.078,0.036
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.048,0.583,0.195,0.142
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.066,0.193,0.093,0.239
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.17,0.28,0.152
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.033,0,0.082,0.065
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.008,0.009,0.018,0.056
"P09","Otros",0.006,0.007,0.038,0.024
"P09","En blanco",0.001,0.002,0.023,0.009
"P09","No sabe",0.005,0.016,0.013,0.18
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.678,0.026,0.122,0.038
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.049,0.563,0.087,0.104
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.139,0.222,0.243,0.317
"P12","Ramiro Marra por la Libertad Avanza",0.05,0.118,0.238,0.074
"P12","Vanina Biasi por el Frente de Izquierda",0.036,0.036,0.141,0.05
"P12","Otros",0.019,0.011,0.085,0.125
"P12","En blanco",0.016,0.007,0.049,0.068
"P12","No sabe",0.013,0.017,0.035,0.224
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.431,0.04,0.239,0.134
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.306,0.021,0.079,0.075
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.076,0.458,0.269,0.16
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.086,0.233,0.077,0.224
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.202,0.177,0.144
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.04,0,0.045,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.002,0.005,0.021,0.07
"P18","Otros",0.016,0.006,0.029,0.06
"P18","En blanco",0.004,0.012,0.061,0.009
"P18","No sabe",0.017,0.023,0.003,0.124
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.508,0.043,0.178,0.057
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.054,0.407,0.099,0.138
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.166,0.263,0.18,0.327
"P21","Ramiro Marra por la Libertad Avanza",0.037,0.147,0.171,0.135
"P21","Vanina Biasi por el Frente de Izquierda",0.096,0.026,0.126,0.04
"P21","Otros",0.082,0.024,0.082,0.061
"P21","En blanco",0.031,0.037,0.117,0.023
"P21","No sabe",0.026,0.053,0.047,0.219
"P25","Totalmente seguro",0.713,0.71,0.671,0.592
"P25","Bastante seguro",0.2,0.175,0.157,0.133
"P25","Algo seguro",0.064,0.085,0.071,0.046
"P25","Para nada seguro",0.023,0.03,0.101,0.229
"P26","Tiene Decidido que va a ir a votar",0.941,0.91,0.868,0.823
"P26","Tiene dudas sobre si va a ir a votar",0.041,0.057,0.06,0.067
"P26","Tiene Decidido que no va a ir a votar",0.018,0.033,0.072,0.11
