"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Siempre",0.259,0.261,0.258,0.253,0.262,0.253,0.268,0.428,0.256,0.202,0.229,0.346,0.101
"Casi siempre",0.356,0.327,0.38,0.211,0.349,0.432,0.437,0.169,0.339,0.434,0.439,0.377,0.136
"Casi nunca",0.285,0.291,0.279,0.378,0.292,0.248,0.214,0.25,0.302,0.285,0.264,0.228,0.706
"Nunca, pero esta es una excepción",0.1,0.121,0.083,0.158,0.097,0.067,0.081,0.153,0.103,0.079,0.068,0.049,0.057
