"var","categoria","Si","No","No sabe"
"P08","Siempre",0.241,0.192,0.163
"P08","Casi siempre",0.361,0.447,0.35
"P08","Casi nunca",0.295,0.264,0.354
"P08","Nunca, pero esta es una excepción",0.103,0.097,0.133
"P09","Muy buena",0.29,0.049,0.025
"P09","Buena",0.365,0.155,0.098
"P09","Ni buena ni mala",0.258,0.324,0.652
"P09","Mala",0.061,0.304,0.172
"P09","Muy mala",0.006,0.156,0.017
"P09","No sabe",0.02,0.012,0.036
"P10","Muy buena",0.387,0.015,0.087
"P10","Buena",0.408,0.175,0.262
"P10","Ni buena ni mala",0.163,0.29,0.526
"P10","Mala",0.024,0.303,0.068
"P10","Muy mala",0,0.197,0.018
"P10","No sabe",0.018,0.02,0.039
"P11","Muy de acuerdo",0.242,0.063,0.037
"P11","De acuerdo",0.248,0.144,0.118
"P11","Ni de acuerdo ni en desacuerdo",0.336,0.298,0.429
"P11","En desacuerdo",0.031,0.193,0.074
"P11","Muy en desacuerdo",0.021,0.146,0.021
"P11","No sabe",0.122,0.156,0.321
"P14","Muy de acuerdo",0.259,0.082,0.061
"P14","De acuerdo",0.143,0.058,0.051
"P14","Ni de acuerdo ni en desacuerdo",0.264,0.286,0.412
"P14","En desacuerdo",0.19,0.256,0.242
"P14","Muy en desacuerdo",0.094,0.239,0.123
"P14","No sabe",0.05,0.079,0.111
"P15","Muy de acuerdo",0.521,0.182,0.297
"P15","De acuerdo",0.207,0.178,0.206
"P15","Ni de acuerdo ni en desacuerdo",0.14,0.252,0.274
"P15","En desacuerdo",0.078,0.281,0.155
"P15","Muy en desacuerdo",0.038,0.098,0.064
"P15","No sabe",0.016,0.009,0.004
"P16","Si",0.591,0.337,0.251
"P16","No",0.218,0.411,0.343
"P16","No sabe",0.191,0.252,0.406
"P17","Muy de acuerdo",0.405,0.335,0.281
"P17","De acuerdo",0.273,0.24,0.205
"P17","Ni de acuerdo ni en desacuerdo",0.204,0.194,0.299
"P17","En desacuerdo",0.083,0.144,0.048
"P17","Muy en desacuerdo",0.026,0.039,0.086
"P17","No sabe",0.009,0.048,0.081
"P18","Muy de acuerdo",0.246,0.025,0.057
"P18","De acuerdo",0.336,0.21,0.134
"P18","Ni de acuerdo ni en desacuerdo",0.243,0.234,0.43
"P18","En desacuerdo",0.111,0.327,0.154
"P18","Muy en desacuerdo",0.048,0.175,0.08
"P18","No sabe",0.016,0.029,0.145
"P19","Muy de acuerdo",0.392,0.126,0.202
"P19","De acuerdo",0.18,0.189,0.121
"P19","Ni de acuerdo ni en desacuerdo",0.249,0.201,0.3
"P19","En desacuerdo",0.098,0.247,0.142
"P19","Muy en desacuerdo",0.063,0.2,0.143
"P19","No sabe",0.018,0.037,0.092
"P20","Autoritaria",0.519,0.183,0.232
"P20","Inexperta negociando",0.156,0.153,0.116
"P20","Indecisa",0.071,0.044,0.077
"P20","Prudente",0.098,0.12,0.217
"P20","Hábil negociando",0.067,0.12,0.084
"P20","Firme y decidido",0.089,0.38,0.274
"P22","Si",0.702,0.081,0.151
"P22","No",0.088,0.787,0.161
"P22","No sabe",0.21,0.132,0.688
"P25","Muy de acuerdo",0.325,0.534,0.287
"P25","De acuerdo",0.121,0.196,0.214
"P25","Ni de acuerdo ni en desacuerdo",0.141,0.065,0.19
"P25","En desacuerdo",0.139,0.077,0.066
"P25","Muy en desacuerdo",0.26,0.128,0.2
"P25","No sabe",0.014,0,0.043
"P26","Muy de acuerdo",0.306,0.567,0.352
"P26","De acuerdo",0.091,0.174,0.15
"P26","Ni de acuerdo ni en desacuerdo",0.124,0.073,0.176
"P26","En desacuerdo",0.157,0.042,0.064
"P26","Muy en desacuerdo",0.292,0.144,0.213
"P26","No sabe",0.03,0,0.045
"P27","Muy buena",0.364,0.041,0.015
"P27","Buena",0.364,0.109,0.157
"P27","Ni buena ni mala",0.203,0.253,0.658
"P27","Mala",0.029,0.28,0.118
"P27","Muy mala",0.035,0.305,0.011
"P27","No sabe",0.005,0.012,0.041
"P28","Muy buena",0.18,0.063,0.058
"P28","Buena",0.226,0.149,0.138
"P28","Ni buena ni mala",0.354,0.183,0.426
"P28","Mala",0.114,0.238,0.228
"P28","Muy mala",0.089,0.31,0.067
"P28","No sabe",0.037,0.057,0.083
"P29","Muy buena",0.146,0.046,0.04
"P29","Buena",0.172,0.123,0.087
"P29","Ni buena ni mala",0.225,0.157,0.406
"P29","Mala",0.287,0.276,0.228
"P29","Muy mala",0.166,0.387,0.143
"P29","No sabe",0.004,0.011,0.096
"P30","Muy buena",0.114,0.056,0.044
"P30","Buena",0.152,0.119,0.141
"P30","Ni buena ni mala",0.434,0.289,0.479
"P30","Mala",0.162,0.205,0.128
"P30","Muy mala",0.105,0.311,0.121
"P30","No sabe",0.033,0.02,0.087
"P31","Muy buena",0.194,0.093,0.064
"P31","Buena",0.205,0.128,0.163
"P31","Ni buena ni mala",0.283,0.184,0.377
"P31","Mala",0.161,0.188,0.157
"P31","Muy mala",0.133,0.363,0.179
"P31","No sabe",0.024,0.044,0.06
"P32","Muy buena",0.301,0.171,0.128
"P32","Buena",0.11,0.05,0.045
"P32","Ni buena ni mala",0.13,0.07,0.228
"P32","Mala",0.176,0.162,0.124
"P32","Muy mala",0.269,0.54,0.445
"P32","No sabe",0.014,0.007,0.03
"P33","Muy buena",0.15,0.179,0.119
"P33","Buena",0.127,0.194,0.157
"P33","Ni buena ni mala",0.138,0.223,0.26
"P33","Mala",0.239,0.183,0.123
