"var","categoria","Si","No","No sabe"
"P34","Buena",0.207,0.114,0.132
"P34","Ni buena ni mala",0.113,0.062,0.271
"P34","Mala",0.154,0.169,0.158
"P34","Muy mala",0.253,0.586,0.281
"P34","No sabe",0.039,0,0.02
"P35","Muy buena",0.321,0.428,0.219
"P35","Buena",0.1,0.165,0.107
"P35","Ni buena ni mala",0.078,0.078,0.283
"P35","Mala",0.214,0.1,0.064
"P35","Muy mala",0.287,0.222,0.308
"P35","No sabe",0,0.007,0.019
"P36","Muy buena",0.281,0.322,0.234
"P36","Buena",0.161,0.322,0.171
"P36","Ni buena ni mala",0.066,0.108,0.177
"P36","Mala",0.151,0.087,0.141
"P36","Muy mala",0.332,0.161,0.258
"P36","No sabe",0.009,0,0.019
"P37","Muy buena",0.208,0.295,0.063
"P37","Buena",0.089,0.161,0.257
"P37","Ni buena ni mala",0.175,0.297,0.347
"P37","Mala",0.228,0.092,0.105
"P37","Muy mala",0.282,0.138,0.192
"P37","No sabe",0.018,0.017,0.036
"P38","Muy buena",0.323,0.558,0.246
"P38","Buena",0.105,0.093,0.165
"P38","Ni buena ni mala",0.133,0.149,0.266
"P38","Mala",0.158,0.053,0.08
"P38","Muy mala",0.279,0.139,0.206
"P38","No sabe",0.002,0.008,0.037
"P39","Muy buena",0.206,0.091,0.103
"P39","Buena",0.167,0.192,0.194
"P39","Ni buena ni mala",0.339,0.42,0.45
"P39","Mala",0.132,0.106,0.114
"P39","Muy mala",0.138,0.173,0.078
"P39","No sabe",0.018,0.018,0.061
"P40","Muy buena",0.211,0.184,0.096
"P40","Buena",0.163,0.185,0.131
"P40","Ni buena ni mala",0.188,0.282,0.343
"P40","Mala",0.134,0.146,0.159
"P40","Muy mala",0.303,0.201,0.175
"P40","No sabe",0.001,0.002,0.096
"P41","Muy buena",0.176,0.111,0.085
"P41","Buena",0.142,0.241,0.183
"P41","Ni buena ni mala",0.237,0.356,0.431
"P41","Mala",0.177,0.101,0.087
"P41","Muy mala",0.236,0.168,0.118
"P41","No sabe",0.032,0.023,0.096
