"var","categoria","Si","No","No sabe"
"P08","Siempre",0.334,0.194,0.175
"P08","Casi siempre",0.346,0.419,0.327
"P08","Casi nunca",0.202,0.311,0.326
"P08","Nunca, pero esta es una excepción",0.118,0.076,0.172
"P09","Muy buena",0.403,0.132,0.102
"P09","Buena",0.285,0.204,0.201
"P09","Ni buena ni mala",0.173,0.331,0.555
"P09","Mala",0.097,0.236,0.116
"P09","Muy mala",0.015,0.075,0.013
"P09","No sabe",0.027,0.022,0.013
"P10","Muy buena",0.429,0.186,0.155
"P10","Buena",0.332,0.224,0.365
"P10","Ni buena ni mala",0.167,0.285,0.334
"P10","Mala",0.034,0.208,0.074
"P10","Muy mala",0.01,0.082,0.045
"P10","No sabe",0.028,0.015,0.027
"P11","Muy de acuerdo",0.507,0.07,0.049
"P11","De acuerdo",0.276,0.147,0.345
"P11","Ni de acuerdo ni en desacuerdo",0.117,0.291,0.477
"P11","En desacuerdo",0.024,0.219,0.014
"P11","Muy en desacuerdo",0.004,0.144,0.009
"P11","No sabe",0.072,0.129,0.106
"P12","Muy buena",0.546,0.063,0.068
"P12","Buena",0.242,0.143,0.408
"P12","Ni buena ni mala",0.157,0.168,0.415
"P12","Mala",0.009,0.362,0.067
"P12","Muy mala",0.014,0.224,0.006
"P12","No sabe",0.032,0.04,0.036
"P13","Muy buena",0.571,0.047,0.04
"P13","Buena",0.231,0.102,0.466
"P13","Ni buena ni mala",0.169,0.231,0.408
"P13","Mala",0.006,0.387,0.039
"P13","Muy mala",0.007,0.221,0.018
"P13","No sabe",0.016,0.012,0.029
"P14","Muy de acuerdo",0.418,0.067,0.099
"P14","De acuerdo",0.173,0.053,0.151
"P14","Ni de acuerdo ni en desacuerdo",0.265,0.255,0.448
"P14","En desacuerdo",0.086,0.351,0.22
"P14","Muy en desacuerdo",0.043,0.24,0.06
"P14","No sabe",0.015,0.034,0.022
"P15","Muy de acuerdo",0.563,0.282,0.297
"P15","De acuerdo",0.251,0.226,0.247
"P15","Ni de acuerdo ni en desacuerdo",0.115,0.197,0.329
"P15","En desacuerdo",0.03,0.177,0.112
"P15","Muy en desacuerdo",0.032,0.115,0.015
"P15","No sabe",0.009,0.003,0
"P16","Si",0.696,0.388,0.337
"P16","No",0.193,0.394,0.272
"P16","No sabe",0.111,0.218,0.391
"P17","Muy de acuerdo",0.453,0.375,0.264
"P17","De acuerdo",0.314,0.161,0.3
"P17","Ni de acuerdo ni en desacuerdo",0.141,0.183,0.306
"P17","En desacuerdo",0.052,0.14,0.067
"P17","Muy en desacuerdo",0.012,0.076,0.028
"P17","No sabe",0.028,0.065,0.035
"P18","Muy de acuerdo",0.356,0.089,0.082
"P18","De acuerdo",0.278,0.164,0.231
"P18","Ni de acuerdo ni en desacuerdo",0.217,0.261,0.47
"P18","En desacuerdo",0.08,0.293,0.139
"P18","Muy en desacuerdo",0.031,0.134,0.027
"P18","No sabe",0.038,0.059,0.051
"P19","Muy de acuerdo",0.393,0.192,0.219
"P19","De acuerdo",0.243,0.183,0.156
"P19","Ni de acuerdo ni en desacuerdo",0.23,0.153,0.37
"P19","En desacuerdo",0.083,0.257,0.161
"P19","Muy en desacuerdo",0.019,0.168,0.058
