"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Si","0.269","0.342","0.194","0.333","0.198","0.256","0.39","0.349","0.282","0.188","0.302","0.461","0.248","0.032","0.322","0.234","0.269","0"
"No","0.426","0.396","0.457","0.324","0.538","0.442","0.249","0.422","0.372","0.508","0.379","0.298","0.549","0.748","0.282","0.514","0.426","0"
"No sabe","0.305","0.262","0.349","0.343","0.264","0.302","0.361","0.229","0.346","0.304","0.319","0.241","0.203","0.22","0.396","0.252","0.305","0"
