"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P08","Siempre",0.447,0.165,0.15,0.271,0.24,0.109
"P08","Casi siempre",0.201,0.511,0.351,0.321,0.293,0.392
"P08","Casi nunca",0.229,0.265,0.38,0.272,0.375,0.384
"P08","Nunca, pero esta es una excepción",0.123,0.059,0.119,0.136,0.092,0.115
"P09","Muy buena",0.534,0.16,0.121,0.015,0.081,0.02
"P09","Buena",0.198,0.414,0.228,0.126,0.04,0.245
"P09","Ni buena ni mala",0.175,0.338,0.485,0.358,0.103,0.499
"P09","Mala",0.045,0.066,0.148,0.424,0.259,0.104
"P09","Muy mala",0.04,0.008,0.012,0.077,0.462,0.058
"P09","No sabe",0.008,0.014,0.006,0,0.055,0.074
"P10","Muy buena",0.649,0.247,0.145,0.077,0.081,0.125
"P10","Buena",0.223,0.505,0.261,0.175,0.085,0.347
"P10","Ni buena ni mala",0.092,0.178,0.472,0.292,0.02,0.325
"P10","Mala",0.02,0.037,0.1,0.399,0.109,0.107
"P10","Muy mala",0.01,0.023,0.01,0.044,0.654,0.02
"P10","No sabe",0.006,0.01,0.012,0.013,0.051,0.076
"P14","Muy de acuerdo",0.57,0.185,0.065,0.015,0.031,0.041
"P14","De acuerdo",0.122,0.261,0.074,0.036,0.01,0.064
"P14","Ni de acuerdo ni en desacuerdo",0.158,0.356,0.456,0.13,0.064,0.307
"P14","En desacuerdo",0.073,0.156,0.233,0.589,0.261,0.179
"P14","Muy en desacuerdo",0.017,0.042,0.142,0.193,0.58,0.158
"P14","No sabe",0.06,0,0.03,0.037,0.054,0.251
"P15","Muy de acuerdo",0.616,0.365,0.363,0.159,0.086,0.342
"P15","De acuerdo",0.14,0.348,0.164,0.151,0.029,0.267
"P15","Ni de acuerdo ni en desacuerdo",0.133,0.142,0.262,0.304,0.283,0.152
"P15","En desacuerdo",0.063,0.085,0.162,0.337,0.108,0.116
"P15","Muy en desacuerdo",0.03,0.06,0.031,0.024,0.432,0.11
"P15","No sabe",0.018,0,0.018,0.025,0.062,0.013
"P16","Si",0.686,0.472,0.401,0.342,0.381,0.384
"P16","No",0.252,0.277,0.283,0.479,0.382,0.253
"P16","No sabe",0.062,0.251,0.316,0.179,0.237,0.363
