"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.239,0.096,0.679,0.495
"P10","Juntos por el Cambio",0.589,0.171,0.086,0.106
"P10","De los liberales libertarios",0.092,0.609,0.065,0.09
"P10","De la Izquierda",0.026,0.028,0.061,0.041
"P10","Hacemos por nuestro país",0.022,0.024,0.034,0.044
"P10","Otro",0.016,0.025,0.028,0.055
"P10","En blanco",0.004,0.01,0.035,0.03
"P10","No sabe",0.012,0.037,0.012,0.139
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.244,0.116,0.738,0.599
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.6,0.114,0.046,0.048
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.08,0.698,0.077,0.07
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.026,0.016,0.043,0.038
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.033,0.035,0.043,0.089
"P13","En blanco",0.005,0.013,0.038,0.022
"P13","No sabe",0.012,0.008,0.015,0.134
"P26","Totalmente seguro",0.723,0.715,0.754,0.579
"P26","Bastante seguro",0.128,0.126,0.103,0.116
"P26","Algo seguro",0.091,0.106,0.088,0.098
"P26","Para nada seguro",0.058,0.053,0.055,0.207
"P27","Tiene Decidido que va a ir a votar",0.935,0.919,0.919,0.844
"P27","Tiene dudas sobre si va a ir a  votar",0.046,0.061,0.049,0.123
"P27","Tiene Decidido que no va a ir a votar",0.019,0.02,0.032,0.033
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.363,0.121,0.77,0.624
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.588,0.428,0.023,0.043
"P28","En blanco",0.022,0.284,0.164,0.033
"P28","No sabe",0.027,0.167,0.043,0.3
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.445,0.065,0.711,0.617
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.192,0.843,0.068,0.075
"P30","En blanco",0.22,0.057,0.203,0.025
"P30","No sabe",0.143,0.035,0.018,0.283
"P38","Inflación",0.315,0.33,0.356,0.342
"P38","Desempleo",0.086,0.076,0.115,0.132
"P38","Corrupción",0.363,0.409,0.152,0.14
"P38","Inseguridad",0.117,0.099,0.11,0.134
"P38","Precio del dólar",0.022,0.018,0.042,0.041
"P38","Pobreza",0.042,0.023,0.089,0.082
"P38","Narcotráfico",0.007,0.004,0.017,0.027
"P38","Tarifas",0.002,0.005,0.006,0.01
"P38","Otro",0.035,0.021,0.095,0.046
"P38","No sabe",0.011,0.015,0.018,0.046
"P10_imputada","Unión por la Patria",0.242,0.103,0.683,0.549
"P10_imputada","Juntos por el Cambio",0.592,0.177,0.09,0.138
"P10_imputada","De los liberales libertarios",0.095,0.621,0.068,0.109
"P10_imputada","De la Izquierda",0.027,0.032,0.062,0.055
"P10_imputada","Hacemos por nuestro país",0.024,0.025,0.034,0.05
"P10_imputada","Otro",0.016,0.031,0.028,0.059
"P10_imputada","En blanco",0.004,0.011,0.035,0.04
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.247,0.117,0.744,0.643
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.605,0.117,0.046,0.087
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.082,0.701,0.079,0.102
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.027,0.016,0.047,0.04
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.034,0.035,0.045,0.099
"P13_imputada","En blanco",0.005,0.014,0.039,0.029
