"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.692,0.121,0.108,0.146,0.063,0.043,0.073
"P10","Juntos por el Cambio",0.15,0.747,0.118,0.065,0.105,0.162,0.107
"P10","De los liberales libertarios",0.082,0.086,0.653,0.087,0.122,0.058,0.042
"P10","De la Izquierda",0.015,0.013,0.022,0.606,0.045,0.053,0.06
"P10","Hacemos por nuestro país",0.011,0.005,0.02,0.015,0.432,0.046,0.023
"P10","Otro",0.015,0.011,0.028,0.068,0.118,0.264,0.113
"P10","En blanco",0.011,0.006,0.012,0.013,0.03,0.321,0.111
"P10","No sabe",0.024,0.011,0.039,0,0.085,0.053,0.471
"P26","Totalmente seguro",0.754,0.734,0.734,0.581,0.423,0.488,0.177
"P26","Bastante seguro",0.115,0.133,0.123,0.076,0.129,0.222,0.11
"P26","Algo seguro",0.079,0.084,0.097,0.13,0.207,0.055,0.08
"P26","Para nada seguro",0.052,0.049,0.046,0.213,0.241,0.235,0.633
"P27","Tiene Decidido que va a ir a votar",0.932,0.924,0.937,0.877,0.779,0.59,0.655
"P27","Tiene dudas sobre si va a ir a  votar",0.052,0.06,0.046,0.08,0.142,0.214,0.276
"P27","Tiene Decidido que no va a ir a votar",0.016,0.016,0.017,0.043,0.079,0.196,0.069
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.88,0.157,0.143,0.327,0.237,0.129,0.18
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.781,0.335,0.181,0.233,0.127,0.135
"P28","En blanco",0.031,0.028,0.33,0.195,0.253,0.44,0.071
"P28","No sabe",0.031,0.034,0.192,0.297,0.277,0.304,0.614
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.226,0.808,0.11,0.316,0.258,0.092,0.136
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.086,0.123,0.778,0.155,0.216,0.214,0.074
"P29","En blanco",0.439,0.04,0.068,0.327,0.215,0.498,0.112
"P29","No sabe",0.249,0.029,0.044,0.202,0.311,0.196,0.678
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.836,0.229,0.083,0.404,0.283,0.108,0.182
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.058,0.253,0.858,0.2,0.248,0.281,0.159
"P30","En blanco",0.068,0.315,0.037,0.245,0.232,0.337,0.093
"P30","No sabe",0.038,0.203,0.022,0.151,0.237,0.274,0.566
"P38","Inflación",0.406,0.293,0.302,0.282,0.263,0.247,0.181
"P38","Desempleo",0.104,0.083,0.083,0.09,0.091,0.222,0.188
"P38","Corrupción",0.114,0.42,0.432,0.282,0.355,0.247,0.244
"P38","Inseguridad",0.131,0.112,0.109,0.053,0.071,0.032,0.123
"P38","Precio del dólar",0.052,0.013,0.004,0.012,0.081,0.01,0.013
"P38","Pobreza",0.079,0.024,0.036,0.126,0.038,0.097,0.073
"P38","Narcotráfico",0.02,0.006,0.001,0.008,0.024,0.015,0.023
"P38","Tarifas",0.007,0.003,0.001,0.004,0.018,0.02,0.002
"P38","Otro",0.062,0.031,0.021,0.122,0.045,0.059,0.112
"P38","No sabe",0.025,0.015,0.011,0.021,0.014,0.051,0.041
