"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.373,0.344,0.399,0.343,0.399,0.39,0.336,0.388,0.372,0.354,0.679,0.105,0.327,0.282,0.381,0.423,0.437,0.735,0.711,0.05,0.17,0.097
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.259,0.23,0.286,0.17,0.196,0.353,0.441,0.24,0.238,0.317,0.092,0.519,0.236,0.288,0.205,0.215,0.271,0.119,0.105,0.849,0.511,0.051
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.264,0.328,0.206,0.356,0.298,0.179,0.139,0.257,0.291,0.232,0.156,0.315,0.315,0.279,0.325,0.288,0.216,0.092,0.085,0.073,0.158,0.811
"Los candidatos a presidente y vicepresidente de la izquierda",0.031,0.033,0.029,0.04,0.034,0.021,0.022,0.029,0.031,0.033,0.021,0.013,0.029,0.036,0.02,0.028,0.033,0.022,0.05,0.015,0.053,0.009
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.049,0.042,0.055,0.061,0.053,0.036,0.035,0.047,0.048,0.053,0.034,0.036,0.071,0.082,0.046,0.027,0.026,0.025,0.035,0.008,0.087,0.026
"En blanco",0.024,0.023,0.025,0.03,0.02,0.021,0.027,0.039,0.02,0.011,0.018,0.012,0.022,0.033,0.023,0.019,0.017,0.007,0.014,0.005,0.021,0.006
