"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Totalmente seguro",0.697,0.716,0.68,0.672,0.685,0.718,0.742,0.657,0.698,0.746,0.745,0.741,0.547,0.654,0.663,0.734,0.747,0.74,0.685,0.74,0.621,0.732
"Bastante seguro",0.124,0.128,0.119,0.147,0.123,0.112,0.098,0.123,0.134,0.108,0.11,0.106,0.21,0.141,0.161,0.106,0.092,0.132,0.11,0.136,0.157,0.16
"Algo seguro",0.091,0.087,0.096,0.098,0.101,0.076,0.078,0.1,0.087,0.086,0.067,0.092,0.166,0.103,0.118,0.061,0.071,0.087,0.125,0.094,0.106,0.076
"Para nada seguro",0.088,0.069,0.105,0.083,0.091,0.094,0.082,0.12,0.081,0.06,0.078,0.061,0.077,0.102,0.058,0.099,0.09,0.041,0.08,0.03,0.116,0.032
