"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.684,0.061,0.15,0.105
"P10","Juntos por el Cambio",0.156,0.25,0.56,0.512
"P10","De los liberales libertarios",0.06,0.566,0.097,0.081
"P10","De la Izquierda",0.035,0.027,0.056,0.042
"P10","Hacemos por nuestro país",0.02,0.02,0.044,0.047
"P10","Otro",0.014,0.032,0.036,0.06
"P10","En blanco",0.008,0.007,0.047,0.021
"P10","No sabe",0.023,0.037,0.01,0.132
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.741,0.066,0.182,0.134
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.137,0.195,0.569,0.485
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.049,0.66,0.067,0.052
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.028,0.018,0.05,0.041
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.033,0.073,0.098
"P13","En blanco",0.004,0.015,0.041,0.044
"P13","No sabe",0.012,0.013,0.018,0.146
"P26","Totalmente seguro",0.753,0.707,0.702,0.547
"P26","Bastante seguro",0.104,0.149,0.125,0.106
"P26","Algo seguro",0.086,0.097,0.09,0.136
"P26","Para nada seguro",0.057,0.047,0.083,0.211
"P27","Tiene Decidido que va a ir a votar",0.944,0.925,0.869,0.817
"P27","Tiene dudas sobre si va a ir a  votar",0.039,0.054,0.088,0.144
"P27","Tiene Decidido que no va a ir a votar",0.017,0.021,0.043,0.039
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.864,0.076,0.17,0.141
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.089,0.483,0.599,0.51
"P28","En blanco",0.019,0.273,0.163,0.057
"P28","No sabe",0.028,0.168,0.068,0.292
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.362,0.201,0.539,0.465
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.718,0.113,0.092
"P29","En blanco",0.373,0.046,0.32,0.037
"P29","No sabe",0.222,0.035,0.028,0.406
"P38","Inflación",0.379,0.328,0.25,0.268
"P38","Desempleo",0.121,0.069,0.08,0.108
"P38","Corrupción",0.129,0.44,0.428,0.328
"P38","Inseguridad",0.123,0.09,0.115,0.143
"P38","Precio del dólar",0.052,0.009,0.006,0.025
"P38","Pobreza",0.083,0.026,0.037,0.041
"P38","Narcotráfico",0.019,0,0.009,0.018
"P38","Tarifas",0.007,0.004,0.001,0.004
"P38","Otro",0.06,0.027,0.052,0.044
"P38","No sabe",0.027,0.007,0.022,0.021
"P10_imputada","Unión por la Patria",0.697,0.065,0.151,0.154
"P10_imputada","Juntos por el Cambio",0.161,0.256,0.568,0.547
"P10_imputada","De los liberales libertarios",0.062,0.58,0.097,0.103
"P10_imputada","De la Izquierda",0.037,0.032,0.057,0.055
"P10_imputada","Hacemos por nuestro país",0.021,0.023,0.044,0.053
"P10_imputada","Otro",0.014,0.037,0.036,0.067
"P10_imputada","En blanco",0.008,0.007,0.047,0.021
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.747,0.068,0.186,0.173
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.138,0.2,0.572,0.537
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.052,0.666,0.071,0.088
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.028,0.018,0.055,0.042
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.031,0.033,0.075,0.105
"P13_imputada","En blanco",0.004,0.015,0.041,0.055
