"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Unión por la Patria",0.366,0.294,0.224,0.147
"P10","Juntos por el Cambio",0.286,0.325,0.27,0.208
"P10","De los liberales libertarios",0.247,0.214,0.244,0.101
"P10","De la Izquierda",0.025,0.044,0.074,0.08
"P10","Hacemos por nuestro país",0.021,0.049,0.056,0.051
"P10","Otro",0.023,0.025,0.049,0.105
"P10","En blanco",0.013,0.01,0.022,0.091
"P10","No sabe",0.019,0.039,0.061,0.217
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.393,0.339,0.313,0.213
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.262,0.268,0.228,0.139
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.27,0.256,0.272,0.134
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.017,0.04,0.068
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.047,0.102,0.122
"P13","En blanco",0.015,0.04,0.013,0.059
"P13","No sabe",0.009,0.033,0.032,0.265
"P27","Tiene Decidido que va a ir a votar",0.964,0.809,0.779,0.71
"P27","Tiene dudas sobre si va a ir a  votar",0.025,0.182,0.097,0.231
"P27","Tiene Decidido que no va a ir a votar",0.011,0.009,0.124,0.059
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.466,0.418,0.348,0.273
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.329,0.371,0.326,0.228
"P28","En blanco",0.129,0.127,0.113,0.127
"P28","No sabe",0.076,0.084,0.213,0.372
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.354,0.369,0.328,0.254
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.282,0.291,0.308,0.186
"P29","En blanco",0.237,0.19,0.205,0.153
"P29","No sabe",0.127,0.15,0.159,0.407
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.451,0.362,0.382,0.326
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.328,0.401,0.334,0.211
"P30","En blanco",0.139,0.144,0.132,0.158
"P30","No sabe",0.082,0.093,0.152,0.305
"P38","Inflación",0.348,0.338,0.3,0.214
"P38","Desempleo",0.082,0.113,0.126,0.169
"P38","Corrupción",0.295,0.296,0.293,0.286
"P38","Inseguridad",0.108,0.131,0.128,0.123
"P38","Precio del dólar",0.03,0.008,0.035,0.038
"P38","Pobreza",0.053,0.056,0.055,0.055
"P38","Narcotráfico",0.012,0.006,0.009,0.015
"P38","Tarifas",0.004,0.007,0.001,0.011
"P38","Otro",0.054,0.027,0.025,0.028
"P38","No sabe",0.014,0.018,0.028,0.061
"P10_imputada","Unión por la Patria",0.371,0.303,0.246,0.239
"P10_imputada","Juntos por el Cambio",0.289,0.331,0.281,0.258
"P10_imputada","De los liberales libertarios",0.252,0.216,0.268,0.13
"P10_imputada","De la Izquierda",0.028,0.053,0.077,0.09
"P10_imputada","Hacemos por nuestro país",0.022,0.054,0.056,0.06
"P10_imputada","Otro",0.024,0.033,0.05,0.121
"P10_imputada","En blanco",0.014,0.01,0.022,0.102
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.395,0.342,0.321,0.309
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.265,0.281,0.24,0.201
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.272,0.267,0.28,0.195
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.018,0.04,0.089
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.052,0.106,0.136
"P13_imputada","En blanco",0.015,0.04,0.013,0.07
