"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.334,0.316,0.352,0.272,0.355,0.442,0.237,0.322,0.355,0.321,0.653,0.354,0.093,0.177,0.099,0.522,0.116,0.306,0.455,0.173,0.352,0.319
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.239,0.242,0.236,0.222,0.175,0.286,0.424,0.214,0.252,0.272,0.164,0.1,0.775,0.281,0.125,0.167,0.461,0.296,0.197,0.197,0.26,0.222
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.353,0.362,0.344,0.437,0.396,0.249,0.163,0.358,0.332,0.381,0.141,0.337,0.119,0.386,0.738,0.26,0.396,0.256,0.116,0.377,0.279,0.413
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.024,0.021,0.016,0.03,0.012,0.037,0.035,0.013,0.015,0.022,0.114,0,0.059,0,0.027,0.018,0.006,0.232,0.031,0.036,0.012
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.022,0.023,0.022,0.027,0.005,0.035,0.028,0.023,0.008,0.013,0.095,0.001,0.046,0.022,0.009,0.001,0.111,0,0.156,0.036,0.011
"En blanco",0.029,0.034,0.024,0.031,0.017,0.006,0.104,0.043,0.025,0.003,0.007,0,0.012,0.051,0.016,0.015,0.008,0.025,0,0.066,0.037,0.023
