"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.486,0.404,0.386,0.357
"P05","Bastante",0.31,0.332,0.388,0.224
"P05","Poco",0.153,0.157,0.097,0.193
"P05","Nada",0.026,0.084,0.068,0.182
"P05","No sabe",0.025,0.023,0.061,0.044
"P06","Siempre",0.285,0.217,0.17,0.202
"P06","Casi siempre",0.253,0.289,0.431,0.307
"P06","Casi nunca",0.294,0.278,0.257,0.305
"P06","Nunca, pero esta es una excepción",0.168,0.216,0.142,0.186
"P10","Unidos para Cambiar misiones",0.593,0.056,0.299,0.126
"P10","Juntos Avancemos",0.206,0.223,0.448,0.359
"P10","De los liberales libertarios",0.094,0.64,0.072,0.147
"P10","De la Izquierda",0.016,0.003,0.014,0.002
"P10","Hacemos por nuestro país",0.02,0.026,0.005,0.1
"P10","En blanco",0.028,0.017,0.142,0.052
"P10","No sabe",0.043,0.035,0.02,0.214
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.684,0.082,0.262,0.161
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.153,0.201,0.508,0.367
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.102,0.657,0.076,0.164
"P13","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.011,0.024,0.028
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.011,0.002,0.062
"P13","En blanco",0.007,0.014,0.093,0.032
"P13","No sabe",0.017,0.024,0.035,0.186
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.25,0.658,0.397,0.433
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.204,0.139,0.251,0.198
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.38,0.104,0.205,0.102
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.128,0.032,0.056,0.122
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.013,0.015,0,0
"P16","No sabe",0.025,0.052,0.091,0.145
"P17","Totalmente seguro.",0.724,0.752,0.594,0.486
"P17","Bastante seguro",0.123,0.161,0.195,0.219
"P17","Algo seguro",0.073,0.05,0.148,0.086
"P17","Para nada seguro",0.08,0.037,0.063,0.209
"P18","Tiene Decidido que va a ir a votar.",0.932,0.917,0.829,0.811
"P18","Tiene dudas sobre si va a ir a  votar",0.047,0.049,0.137,0.095
"P18","Tiene Decidido que no va a ir a votar",0.021,0.034,0.034,0.094
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.862,0.165,0.32,0.328
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.092,0.392,0.511,0.31
"P19","En blanco",0.022,0.294,0.098,0.035
"P19","No sabe",0.024,0.149,0.071,0.327
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.36,0.164,0.417,0.328
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.709,0.133,0.103
"P20","En blanco",0.261,0.1,0.398,0.027
"P20","No sabe",0.302,0.027,0.052,0.542
"P22","Si",0.562,0.314,0.311,0.273
"P22","No",0.438,0.686,0.689,0.727
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.695,0.086,0.291,0.268
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.153,0.203,0.514,0.381
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.109,0.664,0.076,0.22
"P13_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.011,0.024,0.028
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.01,0.002,0.071
"P13_imputada","En blanco",0.006,0.026,0.093,0.032
