"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.391,0.111,0.072,0.077,0.037
"P06","Casi siempre",0.269,0.406,0.187,0.079,0.183
"P06","Casi nunca",0.205,0.34,0.53,0.255,0.461
"P06","Nunca, pero esta es una excepción",0.135,0.143,0.211,0.589,0.319
"P10","Unidos para Cambiar misiones",0.319,0.226,0.205,0.124,0.429
"P10","Juntos Avancemos",0.283,0.272,0.229,0.111,0.085
"P10","De los liberales libertarios",0.266,0.361,0.377,0.345,0.118
"P10","De la Izquierda",0.009,0.013,0.022,0.014,0
"P10","Hacemos por nuestro país",0.045,0.014,0.035,0.034,0.016
"P10","En blanco",0.034,0.053,0.062,0.12,0.097
"P10","No sabe",0.044,0.061,0.07,0.252,0.255
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.301,0.342,0.308,0.236,0.507
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.303,0.253,0.103,0.166,0.056
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.317,0.318,0.453,0.322,0.124
"P13","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.033,0.007,0.04,0.014,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.007,0.04,0.087,0
"P13","En blanco",0.013,0.03,0.019,0.046,0.103
"P13","No sabe",0.02,0.043,0.037,0.129,0.21
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.458,0.494,0.408,0.539,0.412
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.204,0.167,0.152,0.053,0.399
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.213,0.211,0.14,0.198,0
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.076,0.069,0.182,0.029,0.018
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.007,0.007,0.046,0.041,0
"P16","No sabe",0.042,0.052,0.072,0.14,0.171
"P17","Totalmente seguro.",0.779,0.654,0.592,0.687,0.557
"P17","Bastante seguro",0.12,0.159,0.195,0.125,0.193
"P17","Algo seguro",0.052,0.088,0.088,0.059,0.134
"P17","Para nada seguro",0.049,0.099,0.125,0.129,0.116
"P18","Tiene Decidido que va a ir a votar.",0.949,0.885,0.837,0.73,0.845
"P18","Tiene dudas sobre si va a ir a  votar",0.022,0.079,0.133,0.088,0.155
"P18","Tiene Decidido que no va a ir a votar",0.029,0.036,0.03,0.182,0
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.474,0.431,0.429,0.247,0.605
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.319,0.329,0.228,0.27,0.14
"P19","En blanco",0.129,0.152,0.17,0.151,0.216
"P19","No sabe",0.078,0.088,0.173,0.332,0.039
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.334,0.273,0.288,0.152,0.133
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.328,0.346,0.397,0.357,0.488
"P20","En blanco",0.155,0.218,0.112,0.299,0.256
"P20","No sabe",0.183,0.163,0.203,0.192,0.123
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.395,0.335,0.348,0.123,0.28
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.401,0.439,0.436,0.487,0.322
"P21","En blanco",0.112,0.15,0.078,0.116,0.243
"P21","No sabe",0.092,0.076,0.138,0.274,0.155
"P22","Si",0.412,0.459,0.282,0.239,0.357
"P22","No",0.588,0.541,0.718,0.761,0.643
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.315,0.36,0.331,0.254,0.544
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.309,0.257,0.109,0.166,0.056
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.317,0.339,0.462,0.425,0.19
"P13_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.033,0.007,0.039,0.014,0
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.013,0.007,0.04,0.095,0
"P13_imputada","En blanco",0.013,0.03,0.019,0.046,0.21
