"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.316,0.296,0.337,0.258,0.332,0.435,0.21,0.309,0.332,0.303,0.639,0.354,0.086,0.177,0.099,0.5,0.111,0.292,0.455,0.174,0.326,0.309
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.235,0.238,0.231,0.222,0.17,0.276,0.419,0.214,0.244,0.263,0.162,0.1,0.771,0.268,0.121,0.165,0.454,0.296,0.197,0.181,0.251,0.221
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.333,0.35,0.316,0.418,0.382,0.21,0.154,0.343,0.305,0.364,0.142,0.337,0.119,0.35,0.733,0.253,0.387,0.256,0.116,0.377,0.27,0.384
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.024,0.022,0.016,0.03,0.012,0.037,0.034,0.013,0.016,0.022,0.114,0,0.059,0,0.027,0.018,0.007,0.232,0.031,0.036,0.012
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.02,0.023,0.022,0.028,0.005,0.028,0.027,0.023,0.008,0.013,0.095,0.001,0.046,0.019,0.009,0.001,0.111,0,0.143,0.036,0.01
"En blanco",0.025,0.034,0.017,0.031,0.017,0.006,0.073,0.035,0.026,0.003,0.007,0,0.012,0.051,0.016,0.015,0.008,0,0,0.066,0.029,0.023
"No sabe",0.046,0.038,0.054,0.033,0.041,0.056,0.079,0.038,0.057,0.043,0.015,0,0.011,0.049,0.012,0.031,0.021,0.038,0,0.028,0.052,0.041
