"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.423,0.13,0.265
"P05","Bastante",0.32,0.367,0.268
"P05","Poco",0.156,0.321,0.115
"P05","Nada",0.069,0.107,0.352
"P05","No sabe",0.032,0.075,0
"P06","Siempre",0.222,0.12,0.146
"P06","Casi siempre",0.307,0.268,0.103
"P06","Casi nunca",0.292,0.456,0.26
"P06","Nunca, pero esta es una excepción",0.179,0.156,0.491
"P10","Unidos para Cambiar misiones",0.286,0.173,0.078
"P10","Juntos Avancemos",0.253,0.258,0.231
"P10","De los liberales libertarios",0.334,0.179,0.301
"P10","De la Izquierda",0.008,0,0
"P10","Hacemos por nuestro país",0.026,0.075,0.078
"P10","En blanco",0.032,0.188,0.205
"P10","No sabe",0.061,0.127,0.107
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.329,0.35,0.191
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.226,0.299,0.181
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.363,0.182,0.179
"P13","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0,0.13
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.05,0.095
"P13","En blanco",0.016,0.059,0.09
"P13","No sabe",0.038,0.06,0.134
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.476,0.354,0.505
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.175,0.264,0.062
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.209,0.122,0.097
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.079,0.041,0.123
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.014,0.053,0
"P16","No sabe",0.047,0.166,0.213
"P17","Totalmente seguro.",0.757,0.15,0.32
"P17","Bastante seguro",0.121,0.488,0.173
"P17","Algo seguro",0.059,0.125,0.285
"P17","Para nada seguro",0.063,0.237,0.222
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.476,0.19,0.078
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.282,0.484,0.347
"P19","En blanco",0.138,0.182,0.287
"P19","No sabe",0.104,0.144,0.288
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.305,0.137,0.067
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.347,0.355,0.481
"P20","En blanco",0.178,0.226,0.234
"P20","No sabe",0.17,0.282,0.218
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.357,0.252,0.202
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.431,0.323,0.4
"P21","En blanco",0.114,0.264,0.115
"P21","No sabe",0.098,0.161,0.283
"P22","Si",0.42,0.096,0.22
"P22","No",0.58,0.904,0.78
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.347,0.35,0.287
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.229,0.299,0.181
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.377,0.214,0.217
"P13_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0,0.13
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.05,0.095
"P13_imputada","En blanco",0.018,0.087,0.09
