"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Tiene Decidido que va a ir a votar.",0.888,0.904,0.872,0.867,0.908,0.941,0.781,0.869,0.879,0.946,0.91,0.832,0.91,0.855,0.938,0.936,0.908,0.767,0.673,0.986,0.877,0.897
"Tiene dudas sobre si va a ir a  votar",0.069,0.056,0.081,0.088,0.056,0.03,0.132,0.069,0.091,0.029,0.052,0.111,0.061,0.056,0.053,0.037,0.071,0.13,0.094,0.014,0.065,0.072
"Tiene Decidido que no va a ir a votar",0.043,0.04,0.047,0.045,0.036,0.029,0.087,0.062,0.03,0.025,0.038,0.057,0.029,0.089,0.009,0.027,0.021,0.103,0.233,0,0.058,0.031
