"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.704,0.34,0.228,0.25
"P05","Bastante",0.193,0.498,0.367,0.257
"P05","Poco",0.065,0.119,0.297,0.196
"P05","Nada",0.032,0.023,0.064,0.247
"P05","No sabe",0.006,0.02,0.044,0.05
"P10","Unidos para Cambiar misiones",0.315,0.3,0.237,0.155
"P10","Juntos Avancemos",0.306,0.286,0.212,0.19
"P10","De los liberales libertarios",0.218,0.301,0.366,0.374
"P10","De la Izquierda",0.035,0.005,0.001,0.02
"P10","Hacemos por nuestro país",0.068,0.014,0.026,0.028
"P10","En blanco",0.016,0.028,0.085,0.085
"P10","No sabe",0.042,0.066,0.073,0.148
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.312,0.342,0.32,0.275
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.275,0.243,0.172,0.28
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.296,0.359,0.365,0.283
"P13","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.057,0.007,0.021,0.011
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.011,0.035,0.021
"P13","En blanco",0.012,0.005,0.037,0.053
"P13","No sabe",0.031,0.033,0.05,0.077
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.473,0.482,0.42,0.509
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.215,0.196,0.197,0.074
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.225,0.179,0.211,0.146
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.06,0.083,0.107,0.083
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.008,0.008,0.016,0.039
"P16","No sabe",0.019,0.052,0.049,0.149
"P17","Totalmente seguro.",0.77,0.653,0.648,0.741
"P17","Bastante seguro",0.149,0.17,0.162,0.087
"P17","Algo seguro",0.028,0.093,0.087,0.071
"P17","Para nada seguro",0.053,0.084,0.103,0.101
"P18","Tiene Decidido que va a ir a votar.",0.931,0.923,0.859,0.833
"P18","Tiene dudas sobre si va a ir a  votar",0.039,0.062,0.104,0.056
"P18","Tiene Decidido que no va a ir a votar",0.03,0.015,0.037,0.111
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.455,0.471,0.429,0.395
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.334,0.312,0.267,0.281
"P19","En blanco",0.101,0.131,0.159,0.209
"P19","No sabe",0.11,0.086,0.145,0.115
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.338,0.338,0.26,0.188
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.295,0.333,0.37,0.422
"P20","En blanco",0.14,0.148,0.226,0.222
"P20","No sabe",0.227,0.181,0.144,0.168
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.422,0.295,0.357,0.31
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.394,0.412,0.414,0.487
"P21","En blanco",0.09,0.18,0.112,0.094
"P21","No sabe",0.094,0.113,0.117,0.109
"P22","Si",0.555,0.478,0.264,0.27
"P22","No",0.445,0.522,0.736,0.73
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.339,0.361,0.337,0.28
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.278,0.248,0.179,0.28
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.297,0.368,0.384,0.341
"P13_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.057,0.007,0.021,0.012
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.011,0.036,0.025
"P13_imputada","En blanco",0.012,0.005,0.043,0.062
