"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Siempre",0.199,0.232,0.166,0.164,0.215,0.211,0.235,0.203,0.189,0.212,0.269,0.144,0.264,0.222,0.169,0.234,0.23,0.19,0.433,0.251,0.208,0.193
"Casi siempre",0.284,0.287,0.28,0.21,0.29,0.392,0.31,0.245,0.305,0.346,0.27,0.367,0.3,0.262,0.307,0.294,0.346,0.346,0.275,0.146,0.255,0.306
"Casi nunca",0.323,0.283,0.363,0.392,0.311,0.253,0.264,0.326,0.326,0.307,0.277,0.294,0.262,0.252,0.393,0.278,0.271,0.364,0,0.418,0.322,0.323
"Nunca, pero esta es una excepción",0.194,0.198,0.191,0.234,0.184,0.144,0.191,0.226,0.18,0.135,0.184,0.195,0.174,0.264,0.131,0.194,0.153,0.1,0.292,0.185,0.215,0.178
