"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Totalmente seguro.",0.693,0.743,0.642,0.7,0.726,0.676,0.596,0.695,0.659,0.752,0.713,0.723,0.767,0.582,0.769,0.748,0.748,0.641,0.51,0.725,0.713,0.678
"Bastante seguro",0.147,0.135,0.16,0.168,0.126,0.149,0.166,0.14,0.178,0.109,0.096,0.155,0.158,0.178,0.184,0.093,0.165,0.196,0.254,0.236,0.14,0.154
"Algo seguro",0.073,0.071,0.074,0.037,0.081,0.084,0.114,0.068,0.063,0.099,0.097,0.007,0.054,0.105,0.028,0.085,0.045,0.118,0.065,0.019,0.079,0.067
"Para nada seguro",0.087,0.051,0.124,0.095,0.067,0.091,0.124,0.097,0.1,0.04,0.094,0.115,0.021,0.135,0.019,0.074,0.042,0.045,0.171,0.02,0.068,0.101
