"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Si",0.236,0.264,0.211,0.297,0.258,0.201,0.19,0.283,0.248,0.208,0.247,0.263,0.059,0.236,0.448,0.3,0.261,0.212,0.212,0.221,0.213
"No",0.764,0.736,0.789,0.703,0.742,0.799,0.81,0.717,0.752,0.792,0.753,0.737,0.941,0.764,0.552,0.7,0.739,0.788,0.788,0.779,0.787
