"var","categoria","Federico Meca a intendente por Unión por la Patria.","Ramón Lanus a intendente por Juntos por el Cambio","Rodolfo Paolucci a intendente por la Libertad Avanza","Camila Paiz a intendenta por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.658,0.418,0.393,0.467,0.295,0.303
"P05","Bastante",0.235,0.388,0.332,0.277,0.205,0.274
"P05","Poco",0.069,0.14,0.159,0.114,0.246,0.305
"P05","Nada",0.009,0.018,0.074,0.097,0.221,0.075
"P05","No sabe",0.029,0.036,0.042,0.045,0.033,0.043
"P06","Siempre",0.275,0.193,0.267,0.163,0.146,0.132
"P06","Casi siempre",0.345,0.38,0.203,0.301,0.187,0.32
"P06","Casi nunca",0.27,0.317,0.392,0.326,0.419,0.414
"P06","Nunca, pero esta es una excepción",0.11,0.11,0.138,0.21,0.248,0.134
"P09","Unión por la Patria",0.747,0.075,0.046,0.27,0.105,0.107
"P09","Juntos por el Cambio ",0.102,0.704,0.201,0.042,0.089,0.124
"P09","De los Liberales libertarios",0.04,0.153,0.624,0,0.078,0.152
"P09","De la Izquierda",0.026,0.015,0.053,0.605,0.075,0.018
"P09","Hacemos por nuestro país",0.015,0.012,0.033,0.052,0.235,0.048
"P09","En blanco",0.022,0.024,0.009,0,0.28,0.09
"P09","No sabe",0.048,0.017,0.034,0.031,0.138,0.461
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.919,0.035,0.041,0.328,0.111,0.181
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.025,0.817,0.101,0.031,0.08,0.107
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.023,0.118,0.825,0.035,0.132,0.166
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.021,0,0,0.593,0,0.018
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.006,0.005,0.023,0,0.194,0.044
"P12","En blanco",0,0.009,0,0,0.427,0.079
"P12","No sabe",0.006,0.016,0.01,0.013,0.056,0.405
"P15","Si",0.221,0.431,0.404,0.595,0.656,0.788
"P15","No",0.779,0.569,0.596,0.405,0.344,0.212
"P16","Sergio Massa a presidente por Unión por la Patria.",0.486,0.064,0.197,0.419,0.214,0.214
