"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Federico Meca a intendente por Unión por la Patria.",0.155,0.11,0.196,0.102,0.195,0.159,0.129,0.163,0.12,0.181,0.123,0.141,0.577,0.011,0.208,0.142,0.225,0.135,0.124,0.116,0.141
"Ramón Lanus a intendente por Juntos por el Cambio",0.565,0.549,0.58,0.518,0.48,0.641,0.659,0.518,0.608,0.549,0.74,0.506,0.264,0.348,0.099,0.658,0.517,0.554,0.679,0.558,0.563
"Rodolfo Paolucci a intendente por la Libertad Avanza",0.191,0.251,0.136,0.202,0.267,0.127,0.128,0.258,0.176,0.175,0.123,0.239,0.098,0.59,0.423,0.124,0.136,0.197,0.197,0.232,0.25
"Camila Paiz a intendenta por el Frente de Izquierda",0.041,0.036,0.045,0.1,0.031,0.026,0.024,0.042,0.019,0.059,0.004,0.048,0.007,0,0.27,0.067,0.039,0.067,0,0.036,0.012
"En blanco",0.048,0.054,0.043,0.078,0.027,0.047,0.06,0.019,0.077,0.036,0.01,0.066,0.054,0.051,0,0.009,0.083,0.047,0,0.058,0.034
