"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Myriam Bregman a presidenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro País","En blanco","No sabe"
"P05","Mucho",0.634,0.408,0.415,0.457,0.474,0.262,0.095
"P05","Bastante",0.254,0.398,0.339,0.235,0.161,0.126,0.33
"P05","Poco",0.066,0.135,0.169,0.186,0.28,0.28,0.428
"P05","Nada",0.014,0.017,0.062,0.085,0.085,0.172,0.055
"P05","No sabe",0.032,0.042,0.015,0.037,0,0.16,0.092
"P06","Siempre",0.264,0.215,0.191,0.289,0.181,0.105,0.067
"P06","Casi siempre",0.356,0.395,0.238,0.115,0.268,0.099,0.362
"P06","Casi nunca",0.267,0.309,0.416,0.345,0.35,0.447,0.343
"P06","Nunca, pero esta es una excepción",0.113,0.081,0.155,0.251,0.201,0.349,0.228
"P09","Unión por la Patria",0.727,0.087,0.043,0.182,0,0.032,0
"P09","Juntos por el Cambio ",0.102,0.789,0.164,0.01,0.099,0,0.03
"P09","De los Liberales libertarios",0.06,0.065,0.673,0,0.015,0.005,0.016
"P09","De la Izquierda",0.02,0.011,0.042,0.695,0.03,0.174,0.029
"P09","Hacemos por nuestro país",0.025,0.005,0.003,0.086,0.684,0.015,0
"P09","En blanco",0.017,0.022,0.017,0,0.139,0.718,0.158
"P09","No sabe",0.049,0.021,0.058,0.027,0.033,0.056,0.767
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.92,0.021,0.027,0.296,0.056,0.088,0.108
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.028,0.923,0.059,0.018,0.08,0.025,0.011
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.032,0.032,0.862,0.031,0,0,0.01
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.006,0.007,0.015,0.614,0,0,0
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0.002,0,0.041,0.763,0,0
"P12","En blanco",0.002,0.001,0.026,0,0.101,0.832,0.009
"P12","No sabe",0.012,0.014,0.011,0,0,0.055,0.862
"P15","Si",0.286,0.379,0.572,0.652,0.878,0.637,0.631
"P15","No",0.714,0.621,0.428,0.348,0.122,0.363,0.369
"P16","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0,0
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0,0
"P16","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0,0
"P16","Myriam Bregman a presidenta por el Frente de Izquierda",0,0,0,1,0,0,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0,0,0,1,0,0
"P16","En blanco",0,0,0,0,0,1,0
"P16","No sabe",0,0,0,0,0,0,1
"P19","Axel Kicillof a gobernador por Unión por la Patria.",0.569,0.064,0.06,0.567,0.097,0.047,0.025
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.154,0.749,0.348,0,0.205,0.217,0.089
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.108,0.138,0.537,0.108,0.212,0,0.018
"P19","Rubén Sobrero a gobernador por el Frente de Izquierda",0.05,0.008,0,0.245,0,0,0.024
"P19","En blanco",0.004,0.003,0,0.059,0.438,0.075,0
"P19","No sabe",0.115,0.038,0.055,0.021,0.048,0.661,0.844
"P22","Federico Meca a intendente por Unión por la Patria.",0.386,0.077,0.064,0.379,0.105,0.239,0
"P22","Ramón Lanus a intendente por Juntos por el Cambio",0.182,0.759,0.529,0,0.241,0.042,0.415
"P22","Rodolfo Paolucci a intendente por la Libertad Avanza",0.19,0.092,0.299,0.125,0.233,0,0.035
"P22","Camila Paiz a intendenta por el Frente de Izquierda",0.082,0.006,0,0.433,0,0,0.03
"P22","En blanco",0.052,0.018,0.03,0,0.306,0.311,0
"P22","No sabe",0.108,0.048,0.078,0.063,0.115,0.408,0.52
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.099,0.455,0.621,0.1,0.471,0.377,0.21
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.226,0.361,0.23,0.236,0.256,0.103,0.258
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.545,0.137,0.084,0.103,0.158,0.165,0.183
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.053,0.002,0.028,0.225,0,0.018,0.069
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.027,0.008,0.026,0.283,0.038,0.094,0.078
"P25","No sabe",0.05,0.037,0.011,0.053,0.077,0.243,0.202
"P26","Totalmente seguro.",0.722,0.751,0.796,0.663,0.478,0.527,0.26
"P26","Bastante seguro",0.155,0.159,0.092,0.189,0.177,0.146,0.111
"P26","Algo seguro",0.083,0.074,0.069,0,0.152,0.021,0.235
"P26","Para nada seguro",0.04,0.016,0.043,0.148,0.193,0.306,0.394
"P27","Tiene Decidido que va a ir a votar.",0.96,0.923,0.901,0.954,0.705,0.602,0.749
"P27","Tiene dudas sobre si va a ir a  votar",0.033,0.057,0.061,0.017,0.295,0.232,0.187
"P27","Tiene Decidido que no va a ir a votar",0.007,0.02,0.038,0.029,0,0.166,0.064
"P28","Si",0.481,0.423,0.36,0.363,0.174,0.218,0.09
"P28","No",0.519,0.577,0.64,0.637,0.826,0.782,0.91
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.885,0.024,0.034,0.406,0.087,0.028,0.014
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.04,0.906,0.189,0,0.182,0.107,0.048
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.03,0.052,0.746,0.047,0.197,0,0.014
"GOBERNADOR","Rubén Sobrero a gobernador por el Frente de Izquierda",0.013,0.004,0,0.497,0,0,0.014
"GOBERNADOR","En blanco",0.001,0.001,0,0.035,0.487,0.443,0
"GOBERNADOR","No sabe",0.031,0.013,0.031,0.015,0.047,0.422,0.91
"INTENDENTE","Federico Meca a intendente por Unión por la Patria.",0.847,0.031,0.034,0.264,0.082,0.119,0
"INTENDENTE","Ramón Lanus a intendente por Juntos por el Cambio",0.048,0.914,0.294,0,0.194,0.034,0.211
"INTENDENTE","Rodolfo Paolucci a intendente por la Libertad Avanza",0.045,0.031,0.611,0.049,0.206,0,0.019
"INTENDENTE","Camila Paiz a intendenta por el Frente de Izquierda",0.019,0.002,0,0.638,0,0,0.015
"INTENDENTE","En blanco",0.014,0.006,0.016,0,0.384,0.61,0
"INTENDENTE","No sabe",0.027,0.016,0.045,0.049,0.134,0.237,0.755
"CORTA_PRESIDENTE","Si",0.081,0.078,0.14,0.407,0.252,0.207,0.156
"CORTA_PRESIDENTE","No",0.919,0.922,0.86,0.593,0.748,0.793,0.844
"CORTA_GOBERNADOR","Si",0.097,0.137,0.247,0.266,0.442,0.533,0.239
"CORTA_GOBERNADOR","No",0.903,0.863,0.753,0.734,0.558,0.467,0.761
"CORTA_INTENDENTE","Si",0.159,0.127,0.371,0.384,0.654,0.386,0.453
"CORTA_INTENDENTE","No",0.841,0.873,0.629,0.616,0.346,0.614,0.547
