"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Axel Kicillof a gobernador por Unión por la Patria.",0.283,0.268,0.297,0.264,0.349,0.296,0.181,0.312,0.275,0.279,0.094,0.23,0.782,0.104,0.521,0.341,0.291,0.228,0.294,0.209,0.362
"Néstor Grindetti a gobernador por Juntos por el Cambio",0.47,0.417,0.517,0.359,0.348,0.524,0.681,0.456,0.474,0.473,0.728,0.536,0.143,0.099,0.027,0.357,0.429,0.54,0.512,0.538,0.441
"Carolina Piparo a gobernadora por la Libertad Avanza",0.206,0.259,0.158,0.303,0.262,0.158,0.1,0.17,0.216,0.21,0.164,0.204,0.064,0.796,0.147,0.261,0.232,0.191,0.165,0.192,0.178
"Rubén Sobrero a gobernador por el Frente de Izquierda",0.019,0.021,0.018,0.03,0.02,0.011,0.018,0.027,0.015,0.019,0.006,0.008,0.007,0,0.246,0.023,0.009,0.026,0.018,0.038,0.006
"En blanco",0.022,0.035,0.01,0.044,0.021,0.011,0.02,0.035,0.02,0.019,0.008,0.022,0.004,0.001,0.059,0.018,0.039,0.015,0.011,0.023,0.013
