"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Federico Meca a intendente por Unión por la Patria.",0.144,0.106,0.178,0.106,0.177,0.138,0.125,0.165,0.106,0.166,0.121,0.129,0.529,0,0.187,0.114,0.216,0.122,0.1,0.125,0.123
"Ramón Lanus a intendente por Juntos por el Cambio",0.512,0.499,0.525,0.426,0.451,0.602,0.572,0.5,0.53,0.503,0.72,0.458,0.25,0.242,0.076,0.563,0.449,0.516,0.598,0.506,0.542
"Rodolfo Paolucci a intendente por la Libertad Avanza",0.174,0.229,0.123,0.204,0.233,0.116,0.124,0.235,0.161,0.16,0.12,0.203,0.091,0.601,0.401,0.072,0.124,0.2,0.166,0.207,0.236
"Camila Paiz a intendenta por el Frente de Izquierda",0.035,0.036,0.034,0.102,0.023,0.015,0.027,0.046,0.005,0.056,0.005,0.037,0.007,0,0.287,0.037,0.049,0.057,0,0.021,0.012
"En blanco",0.044,0.043,0.045,0.043,0.031,0.048,0.06,0.02,0.062,0.038,0.011,0.07,0.061,0.071,0,0.008,0.053,0.049,0,0.058,0.045
"No sabe",0.091,0.087,0.095,0.119,0.085,0.081,0.092,0.034,0.136,0.077,0.023,0.103,0.062,0.086,0.049,0.206,0.109,0.056,0.136,0.083,0.042
