"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Si",0.127,0.14,0.115,0.169,0.139,0.092,0.112,0.115,0.149,0.114,0.162,0.143,0.041,0.103,0.146,0.14,0.142,0.107,0.226,0.065,0.15
"No",0.873,0.86,0.885,0.831,0.861,0.908,0.888,0.885,0.851,0.886,0.838,0.857,0.959,0.897,0.854,0.86,0.858,0.893,0.774,0.935,0.85
