"var","categoria","Unión por la Patria","Juntos por el Cambio ","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P05","Mucho",0.631,0.413,0.401,0.389,0.413,0.242,0.277
"P05","Bastante",0.237,0.409,0.361,0.212,0.141,0.341,0.274
"P05","Poco",0.07,0.135,0.127,0.225,0.225,0.302,0.291
"P05","Nada",0.013,0.015,0.094,0.071,0.132,0.075,0.108
"P05","No sabe",0.049,0.028,0.017,0.103,0.089,0.04,0.05
"P06","Siempre",0.274,0.218,0.172,0.327,0.186,0.126,0.08
"P06","Casi siempre",0.335,0.399,0.234,0.151,0.177,0.286,0.356
"P06","Casi nunca",0.268,0.296,0.386,0.384,0.415,0.454,0.371
"P06","Nunca, pero esta es una excepción",0.123,0.087,0.208,0.138,0.222,0.134,0.193
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.824,0.075,0.063,0.178,0.282,0.248,0.22
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.106,0.831,0.136,0.139,0.053,0.227,0.071
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.06,0.068,0.78,0.127,0.027,0.085,0.188
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.009,0.001,0,0.426,0.047,0,0.053
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0.001,0.002,0.016,0.48,0.081,0.013
"P12","En blanco",0.001,0.012,0,0.091,0.111,0.311,0.005
"P12","No sabe",0,0.012,0.019,0.023,0,0.048,0.45
"P15","Si",0.277,0.397,0.562,0.64,0.809,0.539,0.565
"P15","No",0.723,0.603,0.438,0.36,0.191,0.461,0.435
"P16","Sergio Massa a presidente por Unión por la Patria.",0.617,0.082,0.111,0.215,0.24,0.063,0.089
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.242,0.751,0.124,0.06,0.073,0.061,0.265
"P16","Javier Milei a presidente por la Libertad Avanza",0.074,0.148,0.756,0.241,0.029,0.134,0.246
"P16","Myriam Bregman a presidenta por el Frente de Izquierda",0.059,0,0,0.406,0.103,0,0.011
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0.014,0.004,0.041,0.555,0.146,0.017
"P16","En blanco",0.008,0,0,0,0,0.406,0.036
"P16","No sabe",0,0.005,0.005,0.037,0,0.19,0.336
"P19","Axel Kicillof a gobernador por Unión por la Patria.",0.592,0.046,0.064,0.577,0.202,0.086,0.069
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.189,0.764,0.317,0.094,0.15,0.202,0.228
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.168,0.125,0.577,0,0.264,0,0.142
"P19","Rubén Sobrero a gobernador por el Frente de Izquierda",0.012,0.009,0,0.143,0.18,0,0.011
"P19","En blanco",0.005,0.005,0.004,0.086,0.161,0.252,0
"P19","No sabe",0.034,0.051,0.038,0.1,0.043,0.46,0.55
"P22","Federico Meca a intendente por Unión por la Patria.",0.494,0.065,0.05,0.269,0.075,0.252,0.05
"P22","Ramón Lanus a intendente por Juntos por el Cambio",0.253,0.734,0.541,0.154,0.259,0.29,0.297
"P22","Rodolfo Paolucci a intendente por la Libertad Avanza",0.053,0.138,0.313,0.199,0.349,0,0.049
"P22","Camila Paiz a intendenta por el Frente de Izquierda",0.096,0.006,0,0.274,0.039,0,0.012
"P22","En blanco",0.031,0.016,0.03,0.074,0.203,0.141,0.109
"P22","No sabe",0.073,0.041,0.066,0.03,0.075,0.317,0.483
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.069,0.463,0.641,0.217,0.387,0.428,0.281
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.254,0.369,0.234,0.091,0.286,0.107,0.184
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.579,0.137,0.073,0.27,0.195,0.192,0.066
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.054,0.003,0.024,0.139,0.011,0.024,0.063
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.03,0,0.007,0.283,0.021,0.019,0.124
"P25","No sabe",0.014,0.028,0.021,0,0.1,0.23,0.282
"P26","Totalmente seguro.",0.789,0.75,0.847,0.56,0.387,0.468,0.29
"P26","Bastante seguro",0.118,0.142,0.098,0.239,0.159,0.318,0.285
"P26","Algo seguro",0.064,0.088,0.046,0.078,0.228,0.05,0.13
"P26","Para nada seguro",0.029,0.02,0.009,0.123,0.226,0.164,0.295
"P27","Tiene Decidido que va a ir a votar.",0.957,0.941,0.912,0.965,0.777,0.741,0.678
"P27","Tiene dudas sobre si va a ir a  votar",0.033,0.046,0.053,0,0.223,0.194,0.226
"P27","Tiene Decidido que no va a ir a votar",0.01,0.013,0.035,0.035,0,0.065,0.096
"P28","Si",0.463,0.416,0.38,0.354,0.275,0.455,0.285
"P28","No",0.537,0.584,0.62,0.646,0.725,0.545,0.715
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.805,0.075,0.09,0.136,0.25,0.12,0.233
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.138,0.824,0.138,0.102,0.07,0.226,0.142
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.036,0.092,0.767,0.218,0.023,0.095,0.212
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.018,0.001,0,0.427,0.078,0,0.012
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro País",0,0.006,0.002,0.017,0.569,0.084,0.013
"PRESIDENTE","En blanco",0.003,0,0.001,0.081,0.01,0.359,0.018
"PRESIDENTE","No sabe",0,0.002,0.002,0.019,0,0.116,0.37
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.806,0.061,0.068,0.383,0.24,0.135,0.248
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.121,0.829,0.241,0.128,0.142,0.316,0.118
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.056,0.084,0.67,0.103,0.209,0.042,0.173
"GOBERNADOR","Rubén Sobrero a gobernador por el Frente de Izquierda",0.005,0.004,0,0.266,0.155,0,0.013
"GOBERNADOR","En blanco",0.002,0.003,0.003,0.056,0.215,0.268,0.006
"GOBERNADOR","No sabe",0.01,0.019,0.018,0.064,0.039,0.239,0.442
"INTENDENTE","Federico Meca a intendente por Unión por la Patria.",0.785,0.071,0.056,0.183,0.165,0.198,0.254
