"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Sergio Massa a presidente por Unión por la Patria.",0.187,0.167,0.206,0.17,0.225,0.184,0.145,0.233,0.159,0.192,0.106,0.209,0.502,0.015,0.487,0.222,0.22,0.184,0.3,0.149,0.139
"Patricia Bullrich a presidenta por Juntos por el Cambio",0.374,0.327,0.416,0.163,0.285,0.43,0.634,0.375,0.445,0.314,0.51,0.396,0.28,0.143,0,0.306,0.361,0.37,0.56,0.403,0.377
"Javier Milei a presidente por la Libertad Avanza",0.292,0.35,0.239,0.422,0.335,0.285,0.121,0.306,0.285,0.292,0.3,0.278,0.072,0.797,0.049,0.379,0.233,0.291,0.101,0.252,0.377
"Myriam Bregman a presidenta por el Frente de Izquierda",0.037,0.03,0.044,0.09,0.046,0.008,0.01,0.011,0.009,0.072,0.022,0.007,0.03,0.045,0.336,0.013,0.06,0.042,0.039,0.037,0.021
"Juan Schiaretti a presidente por Hacemos por Nuestro País",0.045,0.059,0.032,0.116,0.038,0.014,0.03,0.051,0.017,0.066,0.027,0.046,0.052,0,0.099,0.043,0.067,0.063,0,0.043,0.009
"En blanco",0.024,0.041,0.009,0.039,0.02,0.024,0.018,0.006,0.035,0.022,0.002,0.036,0.034,0,0,0.01,0.052,0.007,0,0.008,0.034
"No sabe",0.041,0.026,0.054,0,0.051,0.055,0.042,0.018,0.05,0.042,0.033,0.028,0.03,0,0.029,0.027,0.007,0.043,0,0.108,0.043
