"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Si",0.41,0.409,0.41,0.238,0.399,0.499,0.448,0.47,0.436,0.367,0.407,0.424,0.475,0.308,0.336,0.406,0.401,0.391,0.365,0.359,0.496
"No",0.59,0.591,0.59,0.762,0.601,0.501,0.552,0.53,0.564,0.633,0.593,0.576,0.525,0.692,0.664,0.594,0.599,0.609,0.635,0.641,0.504
