"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro País","En blanco","No sabe"
"P05","Mucho",0.605,0.414,0.394,0.486,0.542,0.198,0.248
"P05","Bastante",0.282,0.39,0.338,0.218,0.103,0.284,0.28
"P05","Poco",0.065,0.138,0.173,0.179,0.301,0.277,0.322
"P05","Nada",0.015,0.018,0.083,0.055,0.054,0.129,0.051
"P05","No sabe",0.033,0.04,0.012,0.062,0,0.112,0.099
"P06","Siempre",0.254,0.212,0.202,0.278,0.26,0.064,0.103
"P06","Casi siempre",0.363,0.39,0.198,0.28,0.284,0.169,0.359
"P06","Casi nunca",0.269,0.305,0.42,0.392,0.246,0.511,0.308
"P06","Nunca, pero esta es una excepción",0.114,0.093,0.18,0.05,0.21,0.256,0.23
"P09","Unión por la Patria",0.723,0.068,0.071,0.084,0,0.007,0
"P09","Juntos por el Cambio ",0.099,0.812,0.123,0.009,0.022,0.187,0.124
"P09","De los Liberales libertarios",0.042,0.066,0.707,0,0.018,0.004,0.094
"P09","De la Izquierda",0.027,0.016,0.026,0.73,0.037,0.16,0.027
"P09","Hacemos por nuestro país",0.029,0.004,0.004,0.054,0.719,0.131,0
"P09","En blanco",0.034,0.023,0.016,0,0.165,0.499,0.05
"P09","No sabe",0.046,0.011,0.053,0.123,0.039,0.012,0.705
"P15","Si",0.311,0.374,0.575,0.654,0.854,0.735,0.739
"P15","No",0.689,0.626,0.425,0.346,0.146,0.265,0.261
"P16","Sergio Massa a presidente por Unión por la Patria.",0.672,0.053,0.078,0.124,0,0.041,0.133
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.099,0.843,0.109,0.209,0.057,0.009,0.241
"P16","Javier Milei a presidente por la Libertad Avanza",0.071,0.085,0.803,0.241,0,0.375,0.091
"P16","Myriam Bregman a presidenta por el Frente de Izquierda",0.083,0.003,0.007,0.426,0.087,0,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.014,0.012,0,0,0.856,0.154,0
"P16","En blanco",0.023,0.002,0,0,0,0.401,0.043
"P16","No sabe",0.038,0.002,0.003,0,0,0.02,0.492
"P19","Axel Kicillof a gobernador por Unión por la Patria.",0.622,0.057,0.052,0.529,0.097,0,0
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.166,0.768,0.296,0,0.117,0.411,0.267
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.064,0.132,0.596,0.138,0.338,0,0.085
"P19","Rubén Sobrero a gobernador por el Frente de Izquierda",0.059,0.005,0.007,0.252,0,0,0.013
"P19","En blanco",0.004,0.003,0,0.081,0.386,0.234,0
"P19","No sabe",0.085,0.035,0.049,0,0.062,0.355,0.635
"P22","Federico Meca a intendente por Unión por la Patria.",0.466,0.048,0.052,0.485,0.142,0,0.063
"P22","Ramón Lanus a intendente por Juntos por el Cambio",0.197,0.787,0.49,0,0.191,0.313,0.348
"P22","Rodolfo Paolucci a intendente por la Libertad Avanza",0.102,0.106,0.351,0,0.369,0,0.112
"P22","Camila Paiz a intendenta por el Frente de Izquierda",0.093,0.006,0.007,0.454,0,0,0.013
"P22","En blanco",0.03,0.017,0.033,0,0.176,0.401,0.079
"P22","No sabe",0.112,0.036,0.067,0.061,0.122,0.286,0.385
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.099,0.448,0.625,0.086,0.367,0.653,0.318
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.227,0.369,0.224,0.159,0.272,0.092,0.256
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.535,0.141,0.072,0.259,0.209,0.047,0.166
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.054,0.002,0.029,0.267,0,0.012,0.044
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.038,0.008,0.027,0.182,0.05,0.067,0.05
