"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.489,0.266,0.398
"P05","Bastante",0.326,0.402,0.16
"P05","Poco",0.116,0.269,0.332
"P05","Nada",0.035,0.012,0.09
"P05","No sabe",0.034,0.051,0.02
"P06","Siempre",0.219,0.271,0.395
"P06","Casi siempre",0.347,0.306,0.137
"P06","Casi nunca",0.309,0.323,0.285
"P06","Nunca, pero esta es una excepción",0.125,0.1,0.183
"P09","Unión por la Patria",0.272,0.144,0.114
"P09","Juntos por el Cambio ",0.415,0.315,0.233
"P09","De los Liberales libertarios",0.193,0.171,0.302
"P09","De la Izquierda",0.04,0,0.059
"P09","Hacemos por nuestro país",0.021,0.091,0
"P09","En blanco",0.022,0.09,0.08
"P09","No sabe",0.037,0.189,0.212
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.304,0.168,0.085
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.424,0.375,0.371
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.203,0.196,0.394
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.019,0,0.03
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.013,0.056,0
"P12","En blanco",0.011,0.072,0.059
"P12","No sabe",0.026,0.133,0.061
"P15","Si",0.393,0.484,0.257
"P15","No",0.607,0.516,0.743
"P16","Sergio Massa a presidente por Unión por la Patria.",0.189,0.075,0.183
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.402,0.403,0.62
"P16","Javier Milei a presidente por la Libertad Avanza",0.304,0.25,0.079
"P16","Myriam Bregman a presidenta por el Frente de Izquierda",0.04,0.011,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.03,0.192,0
"P16","En blanco",0.005,0.063,0.118
"P16","No sabe",0.03,0.006,0
"P19","Axel Kicillof a gobernador por Unión por la Patria.",0.183,0.12,0.078
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.46,0.417,0.709
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.265,0.227,0.094
"P19","Rubén Sobrero a gobernador por el Frente de Izquierda",0.011,0.022,0
"P19","En blanco",0.009,0.123,0
"P19","No sabe",0.072,0.091,0.119
"P22","Federico Meca a intendente por Unión por la Patria.",0.153,0.064,0.171
"P22","Ramón Lanus a intendente por Juntos por el Cambio",0.53,0.414,0.788
"P22","Rodolfo Paolucci a intendente por la Libertad Avanza",0.17,0.227,0
"P22","Camila Paiz a intendenta por el Frente de Izquierda",0.034,0,0
"P22","En blanco",0.034,0.196,0
"P22","No sabe",0.079,0.099,0.041
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.382,0.349,0.288
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.28,0.335,0.375
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.252,0.145,0.097
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.026,0.036,0.069
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.026,0,0.129
"P25","No sabe",0.034,0.135,0.042
"P26","Totalmente seguro.",0.766,0.332,0.456
"P26","Bastante seguro",0.131,0.371,0.042
"P26","Algo seguro",0.065,0.15,0.348
"P26","Para nada seguro",0.038,0.147,0.154
"P28","Si",0.422,0.316,0.155
"P28","No",0.578,0.684,0.845
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.298,0.156,0.092
