"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Siempre",0.2,0.205,0.196,0.127,0.218,0.195,0.243,0.327,0.175,0.167,0.237,0.206,0.238,0.2,0.132,0.218,0.181,0.188,0.162,0.188,0.243
"Casi siempre",0.314,0.279,0.343,0.173,0.296,0.412,0.366,0.202,0.316,0.358,0.341,0.361,0.393,0.143,0.206,0.271,0.291,0.395,0.254,0.292,0.297
"Casi nunca",0.325,0.32,0.329,0.348,0.357,0.287,0.294,0.288,0.329,0.338,0.284,0.341,0.294,0.452,0.395,0.325,0.359,0.283,0.302,0.39,0.29
"Nunca, pero esta es una excepción",0.161,0.196,0.132,0.352,0.129,0.106,0.097,0.183,0.18,0.137,0.138,0.092,0.075,0.205,0.267,0.186,0.169,0.134,0.282,0.13,0.17
