"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Myriam Bregman a presidenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro País","En blanco","No sabe"
"P05","Mucho",0.52,0.334,0.417,0.384,0.452,0.35,0.073
"P05","Bastante",0.328,0.415,0.365,0.319,0.148,0.239,0.31
"P05","Poco",0.067,0.176,0.159,0.256,0.277,0.367,0.503
"P05","Nada",0.041,0.02,0.05,0.041,0.123,0,0.059
"P05","No sabe",0.044,0.055,0.009,0,0,0.044,0.055
"P06","Siempre",0.31,0.193,0.165,0.286,0.115,0.11,0.083
"P06","Casi siempre",0.378,0.407,0.259,0.094,0.303,0.164,0.242
"P06","Casi nunca",0.232,0.343,0.399,0.324,0.339,0.685,0.343
"P06","Nunca, pero esta es una excepción",0.08,0.057,0.177,0.296,0.243,0.041,0.332
"P09","Unión por la Patria",0.513,0.101,0.039,0.245,0,0.05,0
"P09","Juntos por el Cambio ",0.16,0.735,0.186,0,0.112,0,0.043
"P09","De los Liberales libertarios",0.145,0.081,0.636,0,0.02,0,0.03
"P09","De la Izquierda",0.063,0.009,0.045,0.593,0.049,0,0.05
"P09","Hacemos por nuestro país",0.065,0.01,0.005,0.139,0.629,0,0
"P09","En blanco",0.017,0.008,0.023,0,0.16,0.832,0.23
"P09","No sabe",0.037,0.056,0.066,0.023,0.03,0.118,0.647
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.711,0.053,0.048,0.441,0.064,0.192,0.183
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.1,0.801,0.103,0.029,0.099,0.036,0.016
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.113,0.08,0.75,0.053,0,0,0.02
"P12","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.023,0.019,0.028,0.391,0,0,0
