"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Si",0.186,0.2,0.174,0.221,0.205,0.157,0.16,0.208,0.194,0.171,0.192,0.234,0.07,0.133,0.281,0.214,0.167,0.196,0.203,0.142,0.21
"No",0.814,0.8,0.826,0.779,0.795,0.843,0.84,0.792,0.806,0.829,0.808,0.766,0.93,0.867,0.719,0.786,0.833,0.804,0.797,0.858,0.79
