"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Lanús","Posse","Meca","Paolucci","Izquierda","Villa Adelina","Boulogne","Martínez","Acassuso","San Isidro","Beccar"
"Federico Meca a intendente por Unión por la Patria.",0.275,0.267,0.282,0.283,0.323,0.289,0.179,0.262,0.279,0.277,0.102,0.22,0.795,0.113,0.321,0.279,0.272,0.229,0.277,0.234,0.365
"Ramón Lanus a intendente por Juntos por el Cambio",0.464,0.409,0.513,0.412,0.342,0.522,0.635,0.43,0.468,0.475,0.761,0.476,0.119,0.105,0.049,0.411,0.447,0.528,0.496,0.508,0.397
"Rodolfo Paolucci a intendente por la Libertad Avanza",0.165,0.217,0.119,0.203,0.227,0.116,0.089,0.198,0.155,0.159,0.103,0.177,0.056,0.728,0.254,0.143,0.152,0.171,0.156,0.153,0.197
"Camila Paiz a intendenta por el Frente de Izquierda",0.023,0.026,0.02,0.038,0.024,0.015,0.017,0.038,0.008,0.029,0.008,0.021,0.004,0,0.272,0.03,0.026,0.021,0.017,0.04,0.005
"En blanco",0.026,0.035,0.019,0.015,0.031,0.021,0.035,0.027,0.031,0.022,0.012,0.04,0.011,0.02,0.027,0.016,0.042,0.019,0.009,0.034,0.021
"No sabe",0.047,0.046,0.047,0.049,0.053,0.037,0.045,0.045,0.059,0.038,0.014,0.066,0.015,0.034,0.077,0.121,0.061,0.032,0.045,0.031,0.015
