"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","Rubén Sobrero a gobernador por el Frente de Izquierda","En blanco"
"P05","Mucho",0.624,0.419,0.394,0.471,0.192
"P05","Bastante",0.251,0.389,0.326,0.15,0.126
"P05","Poco",0.072,0.133,0.194,0.171,0.49
"P05","Nada",0.013,0.024,0.06,0.116,0.192
"P05","No sabe",0.04,0.035,0.026,0.092,0
"P06","Siempre",0.258,0.212,0.193,0.21,0.081
"P06","Casi siempre",0.343,0.385,0.225,0.197,0.185
"P06","Casi nunca",0.28,0.301,0.431,0.47,0.554
"P06","Nunca, pero esta es una excepción",0.119,0.102,0.151,0.123,0.18
"P09","Unión por la Patria",0.715,0.069,0.073,0.066,0.023
"P09","Juntos por el Cambio ",0.087,0.729,0.161,0.091,0.041
"P09","De los Liberales libertarios",0.045,0.108,0.626,0,0.021
"P09","De la Izquierda",0.053,0.014,0.023,0.548,0.095
"P09","Hacemos por nuestro país",0.022,0.01,0.029,0.218,0.249
"P09","En blanco",0.019,0.029,0.009,0,0.558
"P09","No sabe",0.059,0.041,0.079,0.077,0.013
"P15","Si",0.287,0.422,0.516,0.526,0.623
"P15","No",0.713,0.578,0.484,0.474,0.377
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.075,0.465,0.604,0.264,0.414
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.221,0.348,0.247,0.163,0.16
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.55,0.138,0.064,0.05,0.151
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.056,0,0.039,0.295,0.012
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.041,0.01,0.029,0.169,0.106
"P25","No sabe",0.057,0.039,0.017,0.059,0.157
"P26","Totalmente seguro.",0.727,0.714,0.79,0.694,0.677
"P26","Bastante seguro",0.16,0.154,0.108,0.1,0.016
"P26","Algo seguro",0.063,0.091,0.073,0.061,0.03
"P26","Para nada seguro",0.05,0.041,0.029,0.145,0.277
"P27","Tiene Decidido que va a ir a votar.",0.948,0.922,0.888,0.892,0.663
"P27","Tiene dudas sobre si va a ir a  votar",0.047,0.057,0.065,0.061,0.28
"P27","Tiene Decidido que no va a ir a votar",0.005,0.021,0.047,0.047,0.057
"P28","Si",0.44,0.42,0.362,0.462,0.136
"P28","No",0.56,0.58,0.638,0.538,0.864
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.915,0.048,0.024,0.247,0.015
