"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"La votaría",0.193,0.228,0.16,0.112,0.176,0.212,0.329,0.219,0.185,0.171,0.078,0.337,0.146,0.153,0.131,0.488,0.194,0.157,0.203,0.199
"Puede que la vote",0.151,0.162,0.142,0.173,0.14,0.165,0.129,0.143,0.149,0.166,0.103,0.226,0.104,0.128,0.151,0.197,0.149,0.141,0.151,0.158
"Nunca la votaría",0.485,0.472,0.496,0.518,0.504,0.465,0.416,0.417,0.521,0.521,0.67,0.31,0.583,0.588,0.562,0.216,0.507,0.505,0.479,0.46
"No sabe",0.171,0.138,0.202,0.197,0.18,0.158,0.126,0.221,0.145,0.142,0.149,0.127,0.167,0.131,0.156,0.099,0.15,0.197,0.167,0.183
