"var","categoria","Unidos para Cambiar Santa Fe","Juntos Avancemos","De los liberales libertarios","De la Izquierda","En blanco","No sabe"
"P05","Mucho",0.445,0.384,0.313,0.508,0.233,0.242
"P05","Bastante",0.286,0.276,0.23,0.233,0.159,0.265
"P05","Poco",0.12,0.168,0.244,0.112,0.205,0.279
"P05","Nada",0.105,0.154,0.186,0.117,0.306,0.166
"P05","No sabe",0.044,0.018,0.027,0.03,0.097,0.048
"P06","Siempre",0.3,0.257,0.19,0.153,0.187,0.144
"P06","Casi siempre",0.354,0.358,0.262,0.277,0.302,0.298
"P06","Casi nunca",0.226,0.302,0.38,0.343,0.315,0.314
"P06","Nunca, pero esta es una excepción",0.12,0.083,0.168,0.227,0.196,0.244
"P09","De Unión por la Patria",0.51,0.206,0.007,0.183,0.059,0.158
"P09","De Juntos por el Cambio",0.32,0.655,0.113,0.066,0.194,0.268
"P09","De los liberales libertarios",0.024,0.071,0.798,0.007,0.074,0.065
"P09","De la Izquierda",0.01,0.006,0.018,0.477,0.002,0.02
"P09","Hacemos por Nuestro País",0.035,0.012,0,0.058,0.033,0.009
"P09","otro",0.03,0.012,0.023,0.074,0.063,0.133
"P09","En blanco",0.032,0.011,0.022,0.014,0.459,0.051
"P09","No sabe",0.039,0.027,0.019,0.121,0.116,0.296
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.167,0.345,0.25,0.097,0.08,0.186
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.209,0.274,0.164,0.084,0.125,0.141
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.084,0.041,0.121,0.056,0.114,0.056
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.268,0.162,0.032,0.093,0.114,0.13
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.14,0.085,0.024,0.081,0.057,0.027
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.053,0.036,0.093,0.03,0.063,0.058
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.041,0.015,0.009,0.147,0.013,0.024
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.008,0.002,0.005,0.306,0,0.025
"P11","En blanco",0.004,0.019,0.16,0.07,0.363,0.026
"P11","No sabe",0.026,0.021,0.142,0.036,0.071,0.327
"P15","Lo votaría",0.184,0.139,0.051,0.042,0.007,0.037
"P15","Puede que lo vote",0.178,0.201,0.154,0.072,0.064,0.104
"P15","Nunca lo votaría",0.338,0.334,0.462,0.464,0.653,0.28
