"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.383,0.367,0.434,0.263
"P05","Bastante",0.302,0.358,0.225,0.29
"P05","Poco",0.135,0.148,0.19,0.236
"P05","Nada",0.124,0.095,0.137,0.159
"P05","No sabe",0.056,0.032,0.014,0.052
"P06","Siempre",0.315,0.226,0.234,0.228
"P06","Casi siempre",0.297,0.396,0.339,0.358
"P06","Casi nunca",0.241,0.262,0.299,0.296
"P06","Nunca, pero esta es una excepción",0.147,0.116,0.128,0.118
"P09","De Unión por la Patria",0.116,0.166,0.285,0.211
"P09","De Juntos por el Cambio",0.562,0.493,0.294,0.371
"P09","De los liberales libertarios",0.156,0.144,0.177,0.131
"P09","De la Izquierda",0.04,0.016,0.032,0.028
"P09","Hacemos por Nuestro País",0.008,0.03,0.012,0.016
"P09","otro",0.006,0.029,0.054,0.077
"P09","En blanco",0.099,0.005,0.083,0.043
"P09","No sabe",0.013,0.117,0.063,0.123
"P10","Unidos para Cambiar Santa Fe",0.394,0.296,0.264,0.211
"P10","Juntos Avancemos",0.362,0.343,0.259,0.246
"P10","De los liberales libertarios",0.208,0.122,0.149,0.113
"P10","De la Izquierda",0.023,0.057,0.042,0.039
"P10","En blanco",0,0.041,0.096,0.066
"P10","No sabe",0.013,0.141,0.19,0.325
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.134,0.331,0.215,0.237
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.677,0.258,0.11,0.207
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.063,0.061,0.093,0.059
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.046,0.117,0.203,0.126
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.047,0.052,0.073,0.082
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.006,0.069,0.067,0.047
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.015,0.022,0.03,0.028
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0,0.024,0.024,0.014
"P11","En blanco",0.012,0.005,0.106,0.043
"P11","No sabe",0,0.061,0.079,0.157
"P15","Lo votaría",0.268,0.144,0.083,0.08
"P15","Puede que lo vote",0.134,0.231,0.162,0.125
"P15","Nunca lo votaría",0.348,0.335,0.553,0.196
"P15","No sabe",0.25,0.29,0.202,0.599
"P16","La votaría",0.183,0.304,0.196,0.163
"P16","Puede que la vote",0.204,0.301,0.103,0.191
"P16","Nunca la votaría",0.56,0.327,0.645,0.333
"P16","No sabe",0.053,0.068,0.056,0.313
"P17","Lo votaría",0.747,0.287,0.137,0.203
"P17","Puede que lo vote",0.122,0.314,0.124,0.187
"P17","Nunca lo votaría",0.131,0.335,0.7,0.306
"P17","No sabe",0,0.064,0.039,0.304
"P18","La votaría",0.24,0.099,0.091,0.051
"P18","Puede que la vote",0.116,0.255,0.075,0.112
"P18","Nunca la votaría",0.446,0.412,0.681,0.173
"P18","No sabe",0.198,0.234,0.153,0.664
"P19","La votaría",0.234,0.155,0.096,0.076
"P19","Puede que la vote",0.225,0.304,0.14,0.181
"P19","Nunca la votaría",0.443,0.379,0.698,0.27
"P19","No sabe",0.098,0.162,0.066,0.473
"P20","Lo votaría",0.178,0.181,0.221,0.124
"P20","Puede que lo vote",0.09,0.231,0.125,0.139
"P20","Nunca lo votaría",0.686,0.471,0.6,0.307
