"var","categoria","De Unión por la Patria","De Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por Nuestro País","otro","En blanco","No sabe"
"P05","Mucho",0.537,0.334,0.286,0.515,0.397,0.284,0.148,0.1
"P05","Bastante",0.251,0.291,0.27,0.204,0.257,0.193,0.128,0.263
"P05","Poco",0.095,0.208,0.225,0.183,0.166,0.281,0.203,0.295
"P05","Nada",0.081,0.142,0.187,0.074,0.167,0.141,0.491,0.237
"P05","No sabe",0.036,0.025,0.032,0.024,0.013,0.101,0.03,0.105
"P06","Siempre",0.304,0.245,0.167,0.142,0.272,0.111,0.15,0.137
"P06","Casi siempre",0.349,0.377,0.236,0.298,0.09,0.407,0.182,0.194
"P06","Casi nunca",0.228,0.288,0.395,0.38,0.402,0.322,0.284,0.347
"P06","Nunca, pero esta es una excepción",0.119,0.09,0.202,0.18,0.236,0.16,0.384,0.322
"P10","Unidos para Cambiar Santa Fe",0.538,0.223,0.039,0.07,0.438,0.136,0.117,0.09
"P10","Juntos Avancemos",0.235,0.494,0.124,0.045,0.162,0.06,0.042,0.067
"P10","De los liberales libertarios",0.004,0.042,0.689,0.068,0,0.055,0.043,0.023
"P10","De la Izquierda",0.038,0.009,0.002,0.666,0.14,0.064,0.01,0.054
"P10","En blanco",0.022,0.049,0.043,0.006,0.15,0.102,0.604,0.097
"P10","No sabe",0.163,0.183,0.103,0.145,0.11,0.583,0.184,0.669
"P11","Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.054,0.413,0.236,0.02,0.333,0.061,0.072,0.125
"P11","Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.076,0.319,0.164,0.139,0.17,0.164,0.127,0.143
"P11","Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.045,0.044,0.139,0.051,0.208,0.168,0.059,0.074
"P11","Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.418,0.056,0.047,0.043,0.183,0.183,0.132,0.098
"P11","Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.185,0.033,0.034,0.163,0.033,0.011,0.092,0.019
"P11","Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.093,0.026,0.085,0.041,0,0.03,0.037,0.053
"P11","Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.065,0.012,0.006,0.085,0.015,0.066,0.014,0.013
"P11","Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.003,0.012,0.006,0.359,0,0.043,0.017,0.019
"P11","En blanco",0.007,0.027,0.139,0,0,0.099,0.361,0.056
"P11","No sabe",0.054,0.058,0.144,0.099,0.058,0.175,0.089,0.4
"P15","Lo votaría",0.208,0.11,0.022,0.053,0.195,0.018,0.005,0.024
"P15","Puede que lo vote",0.215,0.142,0.122,0.094,0.302,0.094,0.136,0.086
"P15","Nunca lo votaría",0.237,0.41,0.475,0.539,0.187,0.379,0.596,0.239
"P15","No sabe",0.34,0.338,0.381,0.314,0.316,0.509,0.263,0.651
"P16","La votaría",0.087,0.363,0.212,0.022,0.275,0.044,0.007,0.051
"P16","Puede que la vote",0.048,0.23,0.195,0.125,0.205,0.136,0.069,0.118
"P16","Nunca la votaría",0.763,0.279,0.453,0.72,0.322,0.564,0.617,0.428
"P16","No sabe",0.102,0.128,0.14,0.133,0.198,0.256,0.307,0.403
"P17","Lo votaría",0.069,0.363,0.215,0.131,0.236,0.033,0.061,0.148
"P17","Puede que lo vote",0.102,0.212,0.203,0.265,0.178,0.164,0.084,0.127
"P17","Nunca lo votaría",0.746,0.319,0.451,0.484,0.315,0.514,0.553,0.312
"P17","No sabe",0.083,0.106,0.131,0.12,0.271,0.289,0.302,0.413
"P18","La votaría",0.15,0.082,0.053,0.063,0.215,0.046,0,0.032
"P18","Puede que la vote",0.13,0.112,0.099,0.152,0.211,0.054,0.052,0.088
"P18","Nunca la votaría",0.436,0.451,0.495,0.403,0.201,0.409,0.585,0.3
"P18","No sabe",0.284,0.355,0.353,0.382,0.373,0.491,0.363,0.58
"P19","La votaría",0.108,0.119,0.081,0.132,0.246,0.123,0.058,0.075
"P19","Puede que la vote",0.151,0.218,0.142,0.257,0.111,0.094,0.155,0.107
"P19","Nunca la votaría",0.549,0.466,0.565,0.406,0.236,0.438,0.496,0.3
"P19","No sabe",0.192,0.197,0.212,0.205,0.407,0.345,0.291,0.518
"P20","Lo votaría",0.455,0.064,0.111,0.151,0.214,0.228,0.117,0.092
"P20","Puede que lo vote",0.238,0.09,0.102,0.229,0.26,0.178,0.09,0.081
"P20","Nunca lo votaría",0.172,0.678,0.578,0.386,0.293,0.285,0.501,0.34
"P20","No sabe",0.135,0.168,0.209,0.234,0.233,0.309,0.292,0.487
"P21","Lo votaría",0.364,0.017,0.016,0.149,0.135,0.11,0.079,0.055
"P21","Puede que lo vote",0.269,0.076,0.084,0.173,0.211,0.163,0.013,0.088
"P21","Nunca lo votaría",0.222,0.694,0.668,0.382,0.432,0.38,0.597,0.399
"P21","No sabe",0.145,0.213,0.232,0.296,0.222,0.347,0.311,0.458
"P22","Lo votaría",0.214,0.024,0.02,0.051,0.193,0.018,0.043,0.009
"P22","Puede que lo vote",0.215,0.072,0.073,0.16,0.251,0.095,0.014,0.09
"P22","Nunca lo votaría",0.277,0.541,0.549,0.404,0.306,0.422,0.634,0.35
"P22","No sabe",0.294,0.363,0.358,0.385,0.25,0.465,0.309,0.551
"P23","Lo votaría",0.234,0.014,0.008,0.079,0.125,0.104,0.05,0.002
"P23","Puede que lo vote",0.243,0.065,0.065,0.191,0.187,0.051,0.017,0.114
"P23","Nunca lo votaría",0.32,0.624,0.621,0.477,0.392,0.46,0.658,0.276
"P23","No sabe",0.203,0.297,0.306,0.253,0.296,0.385,0.275,0.608
"P24","Lo votaría",0.2,0.015,0.021,0.064,0,0.118,0.059,0.015
"P24","Puede que lo vote",0.242,0.047,0.084,0.209,0.278,0.12,0.036,0.076
"P24","Nunca lo votaría",0.309,0.667,0.653,0.435,0.354,0.413,0.589,0.394
"P24","No sabe",0.249,0.271,0.242,0.292,0.368,0.349,0.316,0.515
"P25","Lo votaría",0.036,0.178,0.059,0.053,0.111,0.014,0.048,0.014
"P25","Puede que lo vote",0.111,0.225,0.164,0.074,0.242,0.096,0.085,0.127
"P25","Nunca lo votaría",0.637,0.358,0.492,0.55,0.34,0.439,0.585,0.392
"P25","No sabe",0.216,0.239,0.285,0.323,0.307,0.451,0.282,0.467
"P26","Lo votaría",0.026,0.045,0.022,0.054,0.049,0.047,0,0
"P26","Puede que la vote",0.057,0.127,0.079,0.065,0.178,0.02,0.044,0.076
"P26","Nunca la votaría",0.566,0.383,0.536,0.406,0.287,0.413,0.681,0.371
"P26","No sabe",0.351,0.445,0.363,0.475,0.486,0.52,0.275,0.553
"P27","La votaría",0.024,0.076,0.049,0.068,0.025,0.005,0.08,0.007
"P27","Puede que la vote",0.081,0.16,0.107,0.063,0.229,0.059,0.009,0.153
"P27","Nunca la votaría",0.566,0.384,0.534,0.514,0.361,0.44,0.648,0.333
"P27","No sabe",0.329,0.38,0.31,0.355,0.385,0.496,0.263,0.507
"P28","Lo votaría",0.02,0.023,0.052,0.071,0.04,0.006,0.045,0.01
"P28","Puede que la vote",0.072,0.087,0.072,0.155,0.111,0.104,0,0.1
"P28","Nunca la votaría",0.532,0.443,0.54,0.511,0.449,0.415,0.653,0.316
"P28","No sabe",0.376,0.447,0.336,0.263,0.4,0.475,0.302,0.574
"P29","La votaría",0.21,0.02,0.008,0.107,0.293,0.09,0,0.007
"P29","Puede que la vote",0.179,0.081,0.078,0.12,0.059,0.051,0.064,0.122
"P29","Nunca la votaría",0.312,0.53,0.571,0.48,0.461,0.372,0.676,0.303
"P29","No sabe",0.299,0.369,0.343,0.293,0.187,0.487,0.26,0.568
"P30","Lo votaría",0.056,0.05,0.019,0.067,0.201,0,0,0
"P30","Puede que la vote",0.088,0.076,0.07,0.123,0.084,0.061,0.053,0.069
"P30","Nunca la votaría",0.426,0.455,0.553,0.555,0.484,0.427,0.658,0.324
"P30","No sabe",0.43,0.419,0.358,0.255,0.231,0.512,0.289,0.607
"P31","La votaría",0.167,0.013,0.011,0.128,0.199,0.069,0,0.035
"P31","Puede que la vote",0.265,0.102,0.066,0.078,0.049,0.084,0.03,0.151
"P31","Nunca la votaría",0.301,0.614,0.655,0.449,0.63,0.448,0.692,0.4
"P31","No sabe",0.267,0.271,0.268,0.345,0.122,0.399,0.278,0.414
"P32","La votaría",0.111,0.011,0.02,0.192,0.236,0,0,0
"P32","Puede que la vote",0.119,0.056,0.055,0.052,0.126,0.028,0.02,0.098
"P32","Nunca la votaría",0.37,0.553,0.597,0.486,0.394,0.475,0.699,0.351
"P32","No sabe",0.4,0.38,0.328,0.27,0.244,0.497,0.281,0.551
"P33","Lo votaría",0.051,0.013,0,0.119,0.209,0.005,0.004,0.021
"P33","Puede que la vote",0.126,0.09,0.075,0.096,0.221,0.111,0.005,0.075
"P33","Nunca la votaría",0.433,0.463,0.594,0.411,0.14,0.344,0.766,0.376
"P33","No sabe",0.39,0.434,0.331,0.374,0.43,0.54,0.225,0.528
"P34","La votaría",0.022,0.016,0.023,0.098,0.104,0,0.005,0.037
"P34","Puede que la vote",0.084,0.059,0.075,0.09,0.339,0.071,0.01,0.132
"P34","Nunca la votaría",0.445,0.466,0.511,0.435,0.154,0.45,0.74,0.345
"P34","No sabe",0.449,0.459,0.391,0.377,0.403,0.479,0.245,0.486
"P35","Si",0.52,0.476,0.338,0.562,0.129,0.323,0.245,0.265
"P35","No",0.48,0.524,0.662,0.438,0.871,0.677,0.755,0.735
