"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Perotti/Rodenas","Bonfatti/Tejeda","Corral/Martínez","Rosario","Santa Fe","Norte","Sur"
"Marcelo Lewandowski a gobernador y Silvina Patricia Frana a vicegobernadora por Juntos Avancemos",0.157,0.171,0.144,0.147,0.184,0.148,0.124,0.157,0.148,0.171,0.297,0.051,0.137,0.307,0.107,0.02,0.17,0.133,0.179,0.139
"Marcos Cleri a gobernador y Alejandra del Huerto Obeid a vicegobernadora por Juntos Avancemos",0.075,0.076,0.073,0.064,0.058,0.103,0.092,0.09,0.062,0.074,0.119,0.036,0.091,0.105,0.071,0.059,0.074,0.065,0.073,0.08
"Leandro Busatto a gobernador y Alejandra Gómez Sáenz a vicegobernadora por Juntos Avancemos",0.054,0.053,0.055,0.063,0.059,0.046,0.041,0.061,0.044,0.06,0.075,0.03,0.062,0.076,0.037,0.043,0.06,0.076,0.053,0.042
"Eduardo Toniolli a gobernador y Leticia Quagliaro a vicegobernadora por Juntos Avancemos",0.029,0.021,0.037,0.03,0.033,0.028,0.018,0.025,0.03,0.033,0.042,0.016,0.025,0.022,0.039,0.011,0.065,0.017,0.003,0.016
"Carolina Losada a gobernadora y Federico Angelini a vicegobernador por Unidos para Cambiar Santa Fe",0.218,0.24,0.198,0.184,0.19,0.22,0.332,0.214,0.227,0.211,0.1,0.367,0.17,0.149,0.173,0.498,0.197,0.22,0.231,0.23
"Maximiliano Pullaro a gobernador y Gisela Scaglia a vicegobernadora por Unidos para Cambiar Santa Fe",0.192,0.184,0.2,0.199,0.183,0.19,0.202,0.168,0.206,0.203,0.118,0.313,0.172,0.143,0.285,0.269,0.111,0.197,0.26,0.219
"Mónica Fein a gobernadora y Eugenio Fernández a vicegobernador por Unidos para Cambiar Santa Fe",0.072,0.077,0.067,0.072,0.074,0.082,0.054,0.063,0.065,0.095,0.072,0.054,0.144,0.034,0.158,0.022,0.085,0.091,0.052,0.066
"Alguno de los candidatos a gobernador y vicegobernador de la Izquierda",0.023,0.017,0.028,0.025,0.029,0.022,0.006,0.02,0.018,0.033,0.027,0.004,0.013,0.013,0.026,0.002,0.037,0.025,0.018,0.012
"En blanco",0.066,0.064,0.068,0.101,0.063,0.052,0.039,0.07,0.089,0.025,0.067,0.036,0.078,0.059,0.027,0.043,0.09,0.052,0.054,0.057
"No sabe",0.114,0.097,0.13,0.115,0.127,0.109,0.092,0.132,0.111,0.095,0.083,0.093,0.108,0.092,0.077,0.033,0.111,0.124,0.077,0.139
