"var","categoria","Leandro Santoro por el Frente de Todos","Jorge Macri por Juntos por el Cambio","Martín Lousteau por Juntos por el Cambio","Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.184,0.202,0.158,0.166,0.085,0.171,0.181,0.105
"P04","Casi siempre",0.415,0.452,0.448,0.341,0.45,0.327,0.351,0.373
"P04","Casi nunca",0.323,0.281,0.327,0.348,0.378,0.418,0.312,0.431
"P04","Nunca, pero esta es una excepción",0.078,0.065,0.067,0.145,0.087,0.084,0.156,0.091
"P06","Del Frente de Todos y el peronismo",0.827,0.036,0.11,0.035,0.19,0.291,0.201,0.215
"P06","De Cambiemos",0.059,0.777,0.622,0.08,0.021,0.067,0.142,0.219
"P06","De los Liberales libertarios",0.022,0.138,0.151,0.817,0.125,0.091,0.224,0.12
"P06","De la Izquierda",0.045,0.008,0.009,0.031,0.597,0.368,0.069,0.014
"P06","No sabe",0.047,0.041,0.108,0.037,0.067,0.183,0.364,0.432
"P07","A Daniel Scioli",0.142,0.335,0.225,0.136,0.071,0.071,0.143,0.107
"P07","A Sergio Massa",0.193,0.153,0.474,0.144,0.135,0.164,0.032,0.216
"P07","A algún candidato del peronismo",0.069,0.384,0.155,0.537,0.166,0.147,0.126,0.068
"P07","A algún candidato del kirchnerismo",0.596,0.128,0.146,0.183,0.628,0.618,0.699,0.609
"P08","A Daniel Scioli",0.081,0.264,0.186,0.175,0.058,0.059,0.064,0.044
"P08","A Sergio Massa",0.125,0.182,0.43,0.144,0.342,0.101,0.032,0.106
"P08","A algún candidato del peronismo",0.061,0.393,0.166,0.605,0.186,0.068,0.108,0.109
"P08","A Cristina Fernández de Kirchner",0.733,0.161,0.218,0.076,0.414,0.772,0.796,0.741
"P09","A Horacio Rodriguez Larreta",0.336,0.221,0.43,0.103,0,0.286,0.434,0.256
"P09","A Patricia Bullrich",0.242,0.755,0.447,0.769,0,0.176,0.502,0.627
"P09","A Facundo Manes",0.375,0.007,0.052,0,0.144,0.307,0.036,0.071
"P09","A Gerardo Morales",0.047,0.017,0.071,0.128,0.856,0.231,0.028,0.046
"P11","María Eugenia Vidal por Juntos por el Cambio",0.071,0.553,0.199,0.062,0.019,0.044,0.098,0.101
"P11","Martín Lousteau por Juntos por el Cambio",0.056,0.191,0.683,0.02,0.024,0.037,0.03,0.035
"P11","Leandro Santoro por el Frente de Todos",0.845,0.05,0.091,0.01,0.083,0.097,0.093,0.074
"P11","Ramiro Marra por La Libertad Avanza",0.002,0.071,0.005,0.865,0.006,0.025,0.043,0.029
"P11","Al candidato del Frente de Izquierda",0.008,0.005,0.004,0,0.769,0.018,0,0.014
"P11","A Luis Zamora por Autodeterminación y Libertad",0.004,0.003,0.002,0.002,0.029,0.731,0.01,0.022
"P11","En blanco",0.004,0.038,0.004,0.019,0.008,0.011,0.548,0.063
"P11","No sabe",0.01,0.089,0.012,0.022,0.062,0.037,0.178,0.662
"P12","A Jorge Macri por Juntos por el Cambio",0.011,0.674,0.073,0.053,0.013,0.03,0.019,0.036
"P12","A Martín Lousteau por Juntos por el Cambio",0.021,0.065,0.667,0.026,0.024,0.022,0.076,0.047
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.045,0.19,0.142,0.143,0.093,0.065,0.121,0.183
"P12","A Leandro Santoro por el Frente de Todos",0.783,0.009,0.022,0.035,0.054,0.096,0.062,0.046
"P12","A Matías Lammens por el Frente de Todos",0.109,0.021,0.058,0.012,0.133,0.067,0.023,0.031
"P12","A Ramiro Marra por La Libertad Avanza",0.003,0.016,0.006,0.669,0.005,0.131,0.063,0.022
"P12","Al candidato del Frente de Izquierda",0.002,0.001,0.006,0.002,0.564,0.016,0.047,0.027
"P12","A Luis Zamora por Autodeterminación y Libertad",0.005,0.006,0.003,0.005,0.09,0.535,0.086,0.128
"P12","En blanco",0.005,0.009,0.007,0.017,0.01,0.011,0.437,0.051
"P12","No sabe",0.016,0.009,0.016,0.038,0.014,0.027,0.066,0.429
"P13","A Martín Lousteau por Juntos por el Cambio",0.017,0.104,0.623,0.042,0.005,0.021,0.09,0.053
"P13","A Jorge Macri por Juntos por el Cambio",0.059,0.596,0.125,0.015,0.033,0.008,0.009,0.034
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.012,0.219,0.109,0.147,0,0.043,0.11,0.206
"P13","A Leandro Santoro por el Frente de Todos",0.744,0.01,0.073,0.008,0.108,0.12,0.07,0.055
"P13","A Pedro Rosemblat por el Frente de Todos",0.14,0.045,0.037,0.019,0.075,0.03,0.046,0.082
"P13","A Ramiro Marra por La Libertad Avanza",0.003,0.011,0.003,0.715,0.011,0.051,0.055,0.031
"P13","Al candidato del Frente de Izquierda",0.01,0.002,0.003,0.006,0.684,0.064,0.033,0.014
"P13","A Luis Zamora por Autodeterminación y Libertad",0.004,0.001,0.004,0.022,0.074,0.635,0.08,0.073
"P13","En blanco",0.004,0.003,0.008,0.013,0,0,0.379,0.033
"P13","No sabe",0.007,0.009,0.015,0.013,0.01,0.028,0.128,0.419
"P14","A Leandro Santoro por el Frente de Todos",0.744,0.052,0.058,0.021,0.06,0.081,0.075,0.057
"P14","A Pedro Rosemblat por el Frente de Todos",0.133,0.041,0.07,0.003,0.108,0.034,0.044,0.099
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.042,0.506,0.206,0.087,0.021,0.096,0.131,0.16
"P14","A Martín Lousteau por Juntos por el Cambio",0.049,0.154,0.615,0.024,0.035,0.093,0.04,0.061
"P14","A Ramiro Marra por La Libertad Avanza",0.009,0.087,0.025,0.697,0.02,0,0.155,0.029
"P14","Al candidato del Frente de Izquierda",0.002,0.007,0.004,0.111,0.517,0.018,0.009,0.009
"P14","A Luis Zamora por Autodeterminación y Libertad",0.012,0.004,0.002,0.027,0.146,0.523,0.037,0.041
"P14","En blanco",0.002,0.053,0.007,0.009,0.066,0.091,0.358,0.152
"P14","No sabe",0.007,0.096,0.013,0.021,0.027,0.064,0.151,0.392
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.903,0.01,0.065,0.031,0.157,0.177,0.165,0.194
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.021,0.834,0.173,0.064,0.026,0.044,0.064,0.139
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.028,0.081,0.677,0.007,0.023,0.018,0.124,0.084
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.015,0.046,0.061,0.75,0.034,0.016,0.137,0.074
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.009,0.009,0.008,0.111,0.503,0.13,0.053,0.018
"P15","A Luis Zamora por Autodeterminación y Libertad",0.007,0.003,0.002,0.02,0.118,0.505,0.04,0.009
"P15","En blanco",0.006,0.003,0.003,0.007,0.068,0.086,0.229,0.059
"P15","No sabe",0.011,0.014,0.011,0.01,0.071,0.024,0.188,0.423
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.933,0.019,0.044,0.024,0.112,0.19,0.221,0.205
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.018,0.718,0.252,0.051,0.026,0.039,0.119,0.203
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.014,0.107,0.657,0.014,0.039,0.077,0.129,0.073
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.007,0.077,0.029,0.857,0.024,0.017,0.148,0.066
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.01,0.002,0.005,0.02,0.671,0.078,0.063,0.018
"P16","A Luis Zamora por Autodeterminación y Libertad",0.013,0.002,0,0.015,0.022,0.525,0.009,0.006
"P16","En blanco",0.001,0.026,0.004,0.007,0.009,0.046,0.239,0.06
"P16","No sabe",0.004,0.049,0.009,0.012,0.097,0.028,0.072,0.369
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.096,0.624,0.093,0.026,0.043,0.012,0.007,0.089
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.009,0.1,0.63,0.064,0.004,0.011,0.089,0.074
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.037,0.21,0.124,0.145,0.056,0.069,0.133,0.24
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.574,0.014,0.038,0.104,0.088,0.187,0.155,0.09
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.252,0.006,0.078,0.009,0.226,0.041,0.063,0.11
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.013,0.018,0.012,0.641,0.007,0.141,0.134,0.091
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.002,0.006,0.004,0,0.507,0.052,0.174,0.026
"P17","A Luis Zamora por Autodeterminación y Libertad",0.011,0.013,0.005,0.008,0.069,0.462,0.063,0.087
"P17","En blanco",0.003,0.003,0.004,0,0,0,0.146,0.027
"P17","No sabe",0.003,0.006,0.012,0.003,0,0.025,0.036,0.166
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.585,0.05,0.031,0.024,0.089,0.061,0.141,0.106
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.286,0.026,0.072,0.046,0.092,0.092,0.085,0.108
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.041,0.669,0.242,0.079,0.033,0.12,0.126,0.227
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.04,0.1,0.607,0.015,0.005,0,0.106,0.063
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.018,0.07,0.027,0.732,0.014,0.013,0.178,0.108
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.011,0.006,0.004,0.075,0.444,0.119,0.011,0.041
"P18","A Luis Zamora por Autodeterminación y Libertad",0.011,0.002,0.003,0.013,0.111,0.525,0.108,0.018
"P18","En blanco",0.003,0.039,0.003,0.006,0.149,0.062,0.112,0.111
"P18","No sabe",0.005,0.038,0.011,0.01,0.063,0.008,0.133,0.218
"P19","A Martín Lousteau por Juntos por el Cambio",0.021,0.476,0.855,0.029,0.019,0.173,0.169,0.121
"P19","A Ramiro Marra por La Libertad Avanza",0.02,0.137,0.029,0.868,0.007,0,0.16,0.09
"P19","A Leandro Santoro por el Frente de Todos",0.919,0.027,0.047,0.011,0.099,0.099,0.148,0.159
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.006,0.013,0.005,0.02,0.661,0.059,0.017,0.014
"P19","A Luis Zamora por Autodeterminación y Libertad",0.005,0.015,0.011,0.04,0.02,0.587,0.017,0.023
"P19","En blanco",0.013,0.158,0.024,0.003,0.014,0.063,0.37,0.086
"P19","No sabe",0.016,0.174,0.029,0.029,0.18,0.019,0.119,0.507
"P22","A Leandro Santoro por el Frente de Todos",0.838,0.043,0.134,0.053,0.081,0.208,0.163,0.138
"P22","A Jorge Macri por Juntos por el Cambio",0.061,0.805,0.441,0.083,0.005,0.021,0.075,0.13
"P22","A Ramiro Marra por La Libertad Avanza",0.065,0.056,0.1,0.812,0.027,0,0.146,0.109
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.013,0.01,0.022,0.019,0.759,0.112,0.02,0.035
"P22","A Luis Zamora por Autodeterminación y Libertad",0.004,0.013,0.02,0.014,0.04,0.609,0.037,0.019
"P22","En blanco",0.008,0.03,0.092,0.01,0.007,0.029,0.454,0.101
"P22","No sabe",0.011,0.043,0.191,0.009,0.081,0.021,0.105,0.468
"P25","A Leandro Santoro por el Frente de Todos",0.861,0.044,0.129,0.069,0.085,0.17,0.224,0.186
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.074,0.688,0.551,0.065,0.025,0.032,0.198,0.181
"P25","A Ramiro Marra por La Libertad Avanza",0.027,0.107,0.053,0.817,0.007,0.029,0.144,0.069
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.004,0.012,0.022,0.016,0.653,0.06,0.027,0.014
"P25","A Luis Zamora por Autodeterminación y Libertad",0.017,0.014,0.024,0.014,0.037,0.637,0.023,0.025
"P25","En blanco",0.004,0.073,0.09,0.008,0.091,0.05,0.327,0.084
"P25","No sabe",0.013,0.062,0.131,0.011,0.102,0.022,0.057,0.441
"P28","A Pedro Rosemblat por el Frente de Todos",0.58,0.071,0.088,0.042,0.137,0.122,0.262,0.128
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.073,0.66,0.581,0.062,0.028,0.057,0.211,0.198
"P28","A Ramiro Marra por La Libertad Avanza",0.076,0.123,0.057,0.804,0.041,0.02,0.153,0.131
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.035,0.01,0.02,0.024,0.674,0.068,0.039,0.023
"P28","A Luis Zamora por Autodeterminación y Libertad",0.055,0.015,0.03,0.029,0.013,0.63,0.016,0.033
"P28","En blanco",0.067,0.06,0.094,0.029,0,0.049,0.241,0.085
"P28","No sabe",0.114,0.061,0.13,0.01,0.107,0.054,0.078,0.402
"P31","Lo votaría",0.833,0.039,0.066,0.047,0.069,0.188,0.152,0.08
"P31","Puede que lo vote",0.124,0.05,0.148,0.074,0.305,0.288,0.124,0.142
"P31","Nunca lo votaría",0.032,0.872,0.703,0.853,0.41,0.451,0.621,0.572
"P31","No sabe",0.011,0.039,0.083,0.026,0.216,0.073,0.103,0.206
"P32","Lo votaría",0.457,0.026,0.031,0.038,0.073,0.145,0.12,0.106
"P32","Puede que lo vote",0.295,0.02,0.077,0.069,0.245,0.272,0.087,0.077
"P32","Nunca lo votaría",0.161,0.872,0.771,0.861,0.523,0.444,0.693,0.619
"P32","No sabe",0.087,0.082,0.121,0.032,0.159,0.139,0.1,0.198
"P33","Lo votaría",0.371,0.024,0.038,0.056,0.05,0.149,0.081,0.015
"P33","Puede que lo vote",0.39,0.035,0.085,0.065,0.167,0.128,0.095,0.135
"P33","Nunca lo votaría",0.161,0.87,0.757,0.849,0.721,0.683,0.749,0.642
"P33","No sabe",0.078,0.071,0.12,0.03,0.062,0.04,0.075,0.208
"P34","Lo votaría",0.075,0.699,0.171,0.017,0,0.015,0.012,0.08
"P34","Puede que lo vote",0.064,0.142,0.427,0.289,0.036,0.112,0.191,0.222
"P34","Nunca lo votaría",0.838,0.141,0.342,0.667,0.861,0.815,0.651,0.552
"P34","No sabe",0.023,0.018,0.06,0.027,0.103,0.058,0.146,0.146
"P35","Lo votaría",0.031,0.215,0.716,0.038,0.014,0.034,0.025,0.042
"P35","Puede que lo vote",0.11,0.381,0.206,0.115,0.125,0.241,0.163,0.347
"P35","Nunca lo votaría",0.834,0.358,0.064,0.822,0.824,0.708,0.766,0.448
"P35","No sabe",0.025,0.046,0.014,0.025,0.037,0.017,0.046,0.163
"P36","Lo votaría",0.02,0.462,0.36,0.172,0.081,0.072,0.136,0.271
"P36","Puede que lo vote",0.045,0.346,0.352,0.34,0,0.135,0.172,0.193
"P36","Nunca lo votaría",0.918,0.147,0.233,0.449,0.901,0.769,0.639,0.41
"P36","No sabe",0.017,0.045,0.055,0.039,0.018,0.024,0.053,0.126
"P37","Lo votaría",0.095,0.079,0.081,0.066,0.072,0.845,0.083,0.015
"P37","Puede que lo vote",0.387,0.079,0.167,0.042,0.395,0.082,0.155,0.171
"P37","Nunca lo votaría",0.454,0.789,0.68,0.878,0.483,0.073,0.743,0.606
"P37","No sabe",0.064,0.053,0.072,0.014,0.05,0,0.019,0.208
"P38","Lo votaría",0.044,0.465,0.378,0.064,0.041,0.188,0.156,0.185
"P38","Puede que lo vote",0.064,0.297,0.262,0.12,0.189,0.092,0.084,0.13
"P38","Nunca lo votaría",0.874,0.205,0.312,0.786,0.77,0.696,0.686,0.525
"P38","No sabe",0.018,0.033,0.048,0.03,0,0.024,0.074,0.16
"P39","Si",0.551,0.562,0.594,0.535,0.563,0.483,0.526,0.509
"P39","No",0.449,0.438,0.406,0.465,0.437,0.517,0.474,0.491
