"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"A Martín Lousteau por Juntos por el Cambio",0.16,0.147,0.171,0.149,0.146,0.167,0.186,0.189,0.133,0.17,0.085,0.229,0.245
"A Jorge Macri por Juntos por el Cambio",0.198,0.176,0.217,0.117,0.154,0.239,0.31,0.172,0.224,0.188,0.086,0.344,0.183
"A Ricardo López Murphy por Juntos por el Cambio",0.12,0.134,0.108,0.081,0.11,0.15,0.146,0.079,0.101,0.146,0.032,0.213,0.122
"A Leandro Santoro por el Frente de Todos",0.226,0.221,0.23,0.202,0.255,0.224,0.201,0.19,0.237,0.229,0.479,0.036,0.179
"A Pedro Rosemblat por el Frente de Todos",0.07,0.068,0.071,0.084,0.083,0.057,0.047,0.059,0.072,0.072,0.132,0.028,0.053
"A Ramiro Marra por La Libertad Avanza",0.087,0.13,0.05,0.164,0.106,0.043,0.024,0.128,0.081,0.078,0.042,0.1,0.066
"Al candidato del Frente de Izquierda",0.028,0.029,0.028,0.031,0.042,0.018,0.013,0.024,0.028,0.03,0.025,0.007,0.023
"A Luis Zamora por Autodeterminación y Libertad",0.033,0.036,0.031,0.066,0.026,0.027,0.019,0.035,0.035,0.031,0.031,0.01,0.051
"En blanco",0.023,0.02,0.025,0.039,0.024,0.016,0.011,0.034,0.026,0.017,0.026,0.007,0.014
"No sabe",0.055,0.039,0.069,0.067,0.054,0.059,0.043,0.09,0.063,0.039,0.062,0.026,0.064
