"var","categoria","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.175,0.2,0.225,0.182,0.106,0.236,0.095,0.079
"P04","Casi siempre",0.421,0.448,0.458,0.393,0.469,0.373,0.4,0.438
"P04","Casi nunca",0.341,0.281,0.26,0.32,0.38,0.355,0.385,0.398
"P04","Nunca, pero esta es una excepción",0.063,0.071,0.057,0.105,0.045,0.036,0.12,0.085
"P06","Del Frente de Todos y el peronismo",0.833,0.029,0.116,0.05,0.201,0.303,0.143,0.115
"P06","De Cambiemos",0.054,0.825,0.631,0.096,0.02,0.107,0.332,0.43
"P06","De los Liberales libertarios",0.023,0.091,0.122,0.792,0.088,0.206,0.166,0.147
"P06","De la Izquierda",0.044,0.009,0.019,0.022,0.614,0.224,0.052,0.028
"P06","No sabe",0.046,0.046,0.112,0.04,0.077,0.16,0.307,0.28
"P07","A Daniel Scioli",0.127,0.31,0.258,0.285,0.176,0,0,0.137
"P07","A Sergio Massa",0.205,0.05,0.505,0.03,0.124,0.107,0.109,0.216
"P07","A algún candidato del peronismo",0.059,0.542,0.111,0.421,0.076,0.09,0.447,0.035
"P07","A algún candidato del kirchnerismo",0.609,0.098,0.126,0.264,0.624,0.803,0.444,0.612
"P08","A Daniel Scioli",0.071,0.056,0.275,0.239,0,0,0,0.035
"P08","A Sergio Massa",0.132,0.09,0.45,0,0.372,0.08,0.109,0.15
"P08","A algún candidato del peronismo",0.059,0.602,0.117,0.582,0.123,0.09,0.329,0.035
"P08","A Cristina Fernández de Kirchner",0.738,0.252,0.158,0.179,0.505,0.83,0.562,0.78
"P09","A Horacio Rodriguez Larreta",0.296,0.234,0.437,0.065,0,0,0.214,0.163
"P09","A Patricia Bullrich",0.252,0.741,0.436,0.776,0.307,0.423,0.786,0.716
"P09","A Facundo Manes",0.41,0.009,0.045,0.073,0.393,0.418,0,0.067
"P09","A Gerardo Morales",0.042,0.016,0.082,0.086,0.3,0.159,0,0.054
"P10","Leandro Santoro por el Frente de Todos",0.839,0.018,0.023,0.015,0.087,0.176,0.014,0.022
"P10","Jorge Macri por Juntos por el Cambio",0.017,0.702,0.166,0.157,0.019,0.028,0.284,0.235
"P10","Martín Lousteau por Juntos por el Cambio",0.027,0.174,0.721,0.042,0.031,0,0.034,0.029
"P10","Ramiro Marra por La Libertad Avanza",0.008,0.02,0.008,0.692,0.067,0.077,0.031,0.024
"P10","Al candidato del Frente de Izquierda",0.01,0.003,0.007,0.005,0.612,0.032,0.011,0.05
"P10","A Luis Zamora por Autodeterminación y Libertad",0.015,0.003,0.011,0.003,0.062,0.644,0.048,0.012
"P10","En blanco",0.026,0.016,0.027,0.042,0.073,0.017,0.361,0.048
"P10","No sabe",0.058,0.064,0.037,0.044,0.049,0.026,0.217,0.58
"P11","María Eugenia Vidal por Juntos por el Cambio",0.06,0.635,0.137,0.057,0.022,0.117,0.066,0.054
"P11","Martín Lousteau por Juntos por el Cambio",0.071,0.19,0.679,0.044,0.013,0.008,0.043,0.078
"P11","Leandro Santoro por el Frente de Todos",0.782,0.051,0.094,0.025,0.122,0.084,0.021,0.03
"P11","Ramiro Marra por La Libertad Avanza",0.007,0.027,0.017,0.784,0.047,0.091,0.074,0.025
"P11","Al candidato del Frente de Izquierda",0.009,0.003,0.002,0.009,0.61,0.04,0.011,0.026
"P11","A Luis Zamora por Autodeterminación y Libertad",0.017,0,0.01,0.002,0.063,0.602,0.028,0.013
"P11","En blanco",0.016,0.018,0.026,0.042,0.073,0.021,0.553,0.047
"P11","No sabe",0.038,0.076,0.035,0.037,0.05,0.037,0.204,0.727
"P12","A Jorge Macri por Juntos por el Cambio",0.023,0.548,0.128,0.122,0.019,0.036,0.231,0.15
"P12","A Martín Lousteau por Juntos por el Cambio",0.023,0.148,0.606,0.03,0.013,0.091,0.034,0.022
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.04,0.21,0.121,0.151,0.072,0.021,0.217,0.297
"P12","A Leandro Santoro por el Frente de Todos",0.719,0.016,0.022,0.027,0.061,0.091,0.026,0.027
"P12","A Matías Lammens por el Frente de Todos",0.112,0.022,0.061,0.002,0.176,0.039,0.014,0.005
"P12","A Ramiro Marra por La Libertad Avanza",0.002,0.009,0.005,0.568,0.032,0.233,0.026,0.008
"P12","Al candidato del Frente de Izquierda",0.006,0.002,0.008,0.013,0.489,0.025,0.052,0.023
"P12","A Luis Zamora por Autodeterminación y Libertad",0.028,0.003,0.014,0.008,0.045,0.449,0.064,0.188
"P12","En blanco",0.019,0.007,0.014,0.044,0.058,0.006,0.302,0.033
"P12","No sabe",0.028,0.035,0.021,0.035,0.035,0.009,0.034,0.247
"P13","A Martín Lousteau por Juntos por el Cambio",0.034,0.178,0.566,0.043,0.005,0.026,0.053,0.029
"P13","A Jorge Macri por Juntos por el Cambio",0.058,0.48,0.188,0.078,0.019,0.029,0.224,0.145
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.006,0.227,0.09,0.173,0.011,0.11,0.183,0.281
"P13","A Leandro Santoro por el Frente de Todos",0.69,0.025,0.064,0.016,0.092,0.081,0.005,0.028
"P13","A Pedro Rosemblat por el Frente de Todos",0.143,0.038,0.045,0.01,0.068,0.048,0.036,0.079
