"var","categoria","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.208,0.17,0.206,0.177,0.162,0.261,0.058,0.105,0.107
"P04","Casi siempre",0.433,0.43,0.443,0.488,0.418,0.316,0.48,0.524,0.543
"P04","Casi nunca",0.284,0.333,0.286,0.271,0.335,0.304,0.361,0.273,0.327
"P04","Nunca, pero esta es una excepción",0.075,0.067,0.065,0.064,0.085,0.119,0.101,0.098,0.023
"P06","Del Frente de Todos y el peronismo",0.774,0.738,0.063,0.121,0.078,0.101,0.306,0.094,0.121
"P06","De Cambiemos",0.103,0.128,0.794,0.599,0.15,0.03,0.098,0.373,0.461
"P06","De los Liberales libertarios",0.036,0.07,0.088,0.169,0.721,0.347,0.053,0.223,0.074
"P06","De la Izquierda",0.043,0.036,0.006,0.011,0.006,0.456,0.333,0.052,0.123
"P06","No sabe",0.044,0.028,0.049,0.1,0.045,0.066,0.21,0.258,0.221
"P07","A Daniel Scioli",0.141,0.106,0.415,0.17,0.205,0.285,0,0,0.199
"P07","A Sergio Massa",0.233,0.21,0.121,0.316,0.09,0.046,0.059,0,0.576
"P07","A algún candidato del peronismo",0.083,0.022,0.242,0.116,0.371,0.102,0.12,0,0
"P07","A algún candidato del kirchnerismo",0.543,0.662,0.222,0.398,0.334,0.567,0.821,1,0.225
"P08","A Daniel Scioli",0.097,0.049,0.178,0.103,0.17,0,0,0,0.034
"P08","A Sergio Massa",0.17,0.107,0.089,0.294,0.039,0.046,0.025,0.745,0.421
"P08","A algún candidato del peronismo",0.052,0.065,0.294,0.188,0.403,0.399,0.095,0,0.052
"P08","A Cristina Fernández de Kirchner",0.681,0.779,0.439,0.415,0.388,0.555,0.88,0.255,0.493
"P09","A Horacio Rodriguez Larreta",0.229,0.269,0.22,0.441,0.188,1,0.256,0.025,0.156
"P09","A Patricia Bullrich",0.558,0.471,0.75,0.416,0.715,0,0.342,0.892,0.786
"P09","A Facundo Manes",0.194,0.209,0.018,0.05,0.056,0,0.169,0.083,0.013
"P09","A Gerardo Morales",0.019,0.051,0.012,0.093,0.041,0,0.233,0,0.045
"P10","Leandro Santoro por el Frente de Todos",0.806,0.656,0.041,0.068,0.041,0.096,0.119,0.022,0.037
"P10","Jorge Macri por Juntos por el Cambio",0.067,0.057,0.664,0.165,0.157,0.05,0.021,0.345,0.266
"P10","Martín Lousteau por Juntos por el Cambio",0.03,0.113,0.169,0.705,0.042,0.025,0.025,0.017,0.052
"P10","Ramiro Marra por La Libertad Avanza",0.012,0.04,0.03,0.009,0.634,0.24,0.054,0.02,0.028
"P10","Al candidato del Frente de Izquierda",0.013,0.022,0.004,0.001,0.004,0.395,0.127,0.141,0.047
"P10","A Luis Zamora por Autodeterminación y Libertad",0.007,0.017,0.01,0,0.002,0.081,0.458,0.045,0.005
"P10","En blanco",0.023,0.023,0.015,0.021,0.048,0.011,0.138,0.119,0.112
"P10","No sabe",0.042,0.072,0.067,0.031,0.072,0.102,0.058,0.291,0.453
"P11","María Eugenia Vidal por Juntos por el Cambio",0.079,0.08,0.627,0.134,0.052,0.157,0,0.052,0.02
"P11","Martín Lousteau por Juntos por el Cambio",0.09,0.126,0.163,0.684,0.049,0.026,0.047,0.107,0.098
"P11","Leandro Santoro por el Frente de Todos",0.772,0.614,0.074,0.113,0.047,0.037,0.056,0.08,0.068
"P11","Ramiro Marra por La Libertad Avanza",0.003,0.055,0.038,0.023,0.735,0.179,0.033,0.071,0.025
"P11","Al candidato del Frente de Izquierda",0.01,0.023,0.003,0,0.009,0.375,0.202,0.012,0.039
"P11","A Luis Zamora por Autodeterminación y Libertad",0.006,0.019,0,0.004,0.002,0.081,0.445,0.032,0.018
"P11","En blanco",0.009,0.02,0.016,0.018,0.05,0.032,0.163,0.261,0.119
"P11","No sabe",0.031,0.063,0.079,0.024,0.056,0.113,0.054,0.385,0.613
"P12","A Jorge Macri por Juntos por el Cambio",0.05,0.05,0.519,0.135,0.126,0.095,0.03,0.228,0.202
"P12","A Martín Lousteau por Juntos por el Cambio",0.027,0.059,0.127,0.62,0.024,0.11,0.027,0.03,0.049
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.058,0.051,0.214,0.129,0.164,0.028,0.097,0.279,0.283
"P12","A Leandro Santoro por el Frente de Todos",0.739,0.511,0.041,0.05,0.037,0.046,0.078,0.009,0.037
"P12","A Matías Lammens por el Frente de Todos",0.067,0.182,0.037,0.028,0.008,0.027,0.114,0.07,0.005
"P12","A Ramiro Marra por La Libertad Avanza",0.005,0.021,0.012,0.008,0.522,0.155,0.148,0.03,0.005
"P12","Al candidato del Frente de Izquierda",0.01,0.01,0.003,0.001,0.022,0.378,0.128,0.012,0.039
"P12","A Luis Zamora por Autodeterminación y Libertad",0.01,0.03,0.004,0.007,0.012,0.152,0.294,0.197,0.024
"P12","En blanco",0.017,0.022,0.007,0.012,0.052,0.009,0.078,0.094,0.086
"P12","No sabe",0.017,0.064,0.036,0.01,0.033,0,0.006,0.051,0.27
"P13","A Martín Lousteau por Juntos por el Cambio",0.054,0.082,0.163,0.563,0.029,0.036,0.01,0.058,0.038
"P13","A Jorge Macri por Juntos por el Cambio",0.087,0.098,0.466,0.152,0.104,0.019,0.013,0.214,0.218
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.029,0.008,0.227,0.107,0.157,0.151,0.019,0.245,0.253
