"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Siempre",0.186,0.189,0.135,0.148
"P04","Casi siempre",0.433,0.441,0.35,0.4
"P04","Casi nunca",0.301,0.302,0.458,0.342
"P04","Nunca, pero esta es una excepción",0.08,0.068,0.057,0.11
"P10","Leandro Santoro por el Frente de Todos",0.047,0.016,0.358,0.045
"P10","Jorge Macri por Juntos por el Cambio",0.398,0.647,0.08,0.217
"P10","Martín Lousteau por Juntos por el Cambio",0.458,0.227,0.385,0.527
"P10","Ramiro Marra por La Libertad Avanza",0.006,0.022,0,0.053
"P10","Al candidato del Frente de Izquierda",0,0,0.007,0.041
"P10","A Luis Zamora por Autodeterminación y Libertad",0.005,0.001,0.036,0.027
"P10","En blanco",0.023,0.013,0.013,0.01
"P10","No sabe",0.063,0.074,0.121,0.08
"P11","María Eugenia Vidal por Juntos por el Cambio",0.429,0.477,0.197,0.164
"P11","Martín Lousteau por Juntos por el Cambio",0.431,0.268,0.373,0.606
"P11","Leandro Santoro por el Frente de Todos",0.062,0.065,0.224,0.032
"P11","Ramiro Marra por La Libertad Avanza",0.001,0.04,0.013,0.053
"P11","Al candidato del Frente de Izquierda",0.007,0,0.013,0
"P11","A Luis Zamora por Autodeterminación y Libertad",0.002,0.001,0.03,0.031
"P11","En blanco",0.035,0.033,0.02,0.01
"P11","No sabe",0.033,0.116,0.13,0.104
"P12","A Jorge Macri por Juntos por el Cambio",0.354,0.491,0.108,0.133
"P12","A Martín Lousteau por Juntos por el Cambio",0.38,0.191,0.259,0.478
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.142,0.263,0.151,0.159
"P12","A Leandro Santoro por el Frente de Todos",0.034,0.006,0.226,0.02
"P12","A Matías Lammens por el Frente de Todos",0.037,0.019,0.115,0.033
"P12","A Ramiro Marra por La Libertad Avanza",0,0.012,0,0.054
"P12","Al candidato del Frente de Izquierda",0.008,0.001,0,0
"P12","A Luis Zamora por Autodeterminación y Libertad",0,0.003,0.079,0.038
"P12","En blanco",0.009,0.001,0.021,0.02
"P12","No sabe",0.036,0.013,0.041,0.065
"P13","A Martín Lousteau por Juntos por el Cambio",0.375,0.207,0.236,0.398
"P13","A Jorge Macri por Juntos por el Cambio",0.308,0.463,0.139,0.244
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.15,0.271,0.084,0.174
"P13","A Leandro Santoro por el Frente de Todos",0.056,0.013,0.28,0.015
"P13","A Pedro Rosemblat por el Frente de Todos",0.062,0.02,0.115,0.056
"P13","A Ramiro Marra por La Libertad Avanza",0,0.008,0,0.034
"P13","Al candidato del Frente de Izquierda",0,0.001,0,0
"P13","A Luis Zamora por Autodeterminación y Libertad",0.003,0,0.081,0.04
"P13","En blanco",0.016,0.001,0.014,0
"P13","No sabe",0.03,0.016,0.051,0.039
"P14","A Leandro Santoro por el Frente de Todos",0.058,0.037,0.295,0.07
"P14","A Pedro Rosemblat por el Frente de Todos",0.059,0.04,0.007,0.009
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.361,0.46,0.16,0.183
"P14","A Martín Lousteau por Juntos por el Cambio",0.418,0.26,0.324,0.558
"P14","A Ramiro Marra por La Libertad Avanza",0.025,0.047,0,0.067
"P14","Al candidato del Frente de Izquierda",0.002,0.003,0,0
"P14","A Luis Zamora por Autodeterminación y Libertad",0,0.005,0.045,0.034
"P14","En blanco",0.023,0.057,0.091,0.026
"P14","No sabe",0.054,0.091,0.078,0.053
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.033,0.019,0.399,0.071
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.408,0.695,0.093,0.178
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.475,0.183,0.244,0.56
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.025,0.041,0.023,0.054
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.009,0.004,0.037,0
"P15","A Luis Zamora por Autodeterminación y Libertad",0.003,0.003,0.063,0.033
"P15","En blanco",0.017,0.009,0.015,0.045
"P15","No sabe",0.03,0.046,0.126,0.059
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.04,0.015,0.365,0.04
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.462,0.651,0.112,0.216
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.439,0.195,0.297,0.562
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.007,0.038,0.052,0.064
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0,0.001,0.015,0.012
"P16","A Luis Zamora por Autodeterminación y Libertad",0,0.004,0.063,0.025
"P16","En blanco",0.016,0.027,0,0
