"var","categoria","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.225,0.176,0.196,0.203,0.132,0.217,0.048,0.129,0.076,0.105
"P04","Casi siempre",0.443,0.51,0.438,0.411,0.479,0.35,0.426,0.469,0.346,0.359
"P04","Casi nunca",0.28,0.225,0.31,0.298,0.346,0.335,0.406,0.332,0.54,0.391
"P04","Nunca, pero esta es una excepción",0.052,0.089,0.056,0.088,0.043,0.098,0.12,0.07,0.038,0.145
"P06","Del Frente de Todos y el peronismo",0.131,0.069,0.118,0.772,0.767,0.025,0.152,0.256,0.04,0.236
"P06","De Cambiemos",0.734,0.662,0.612,0.068,0.1,0.045,0.062,0.196,0.357,0.309
"P06","De los Liberales libertarios",0.086,0.157,0.212,0.056,0.033,0.851,0.026,0.097,0.154,0.069
"P06","De la Izquierda",0.01,0.02,0.019,0.045,0.054,0.027,0.606,0.181,0.057,0.013
"P06","No sabe",0.039,0.092,0.039,0.059,0.046,0.052,0.154,0.27,0.392,0.373
"P07","A Daniel Scioli",0.42,0.124,0.165,0.129,0.084,0.473,0.05,0.032,0,0.275
"P07","A Sergio Massa",0.255,0.546,0.327,0.186,0.193,0.182,0.084,0.124,0.639,0.35
"P07","A algún candidato del peronismo",0.118,0.243,0.237,0.084,0.021,0.093,0.398,0.057,0,0.031
"P07","A algún candidato del kirchnerismo",0.207,0.087,0.271,0.601,0.702,0.252,0.468,0.787,0.361,0.344
"P08","A Daniel Scioli",0.1,0.122,0.152,0.099,0.039,0.434,0,0,0,0.112
"P08","A Sergio Massa",0.346,0.443,0.181,0.109,0.13,0.089,0.084,0.124,0,0.212
"P08","A algún candidato del peronismo",0.117,0.273,0.259,0.063,0.077,0.225,0.337,0.083,0.639,0
"P08","A Cristina Fernández de Kirchner",0.437,0.162,0.408,0.729,0.754,0.252,0.579,0.793,0.361,0.676
"P09","A Horacio Rodriguez Larreta",0.222,0.5,0.152,0.147,0.293,0.056,0.507,0.099,0.213,0.267
"P09","A Patricia Bullrich",0.728,0.4,0.793,0.526,0.405,0.712,0.315,0.583,0.787,0.63
