"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P06","Del Frente de Todos y el peronismo",0.303,0.285,0.297,0.229
"P06","De Cambiemos",0.411,0.394,0.314,0.244
"P06","De los Liberales libertarios",0.163,0.159,0.188,0.231
"P06","De la Izquierda",0.043,0.044,0.05,0.081
"P06","No sabe",0.08,0.118,0.151,0.215
"P07","A Daniel Scioli",0.262,0.12,0.135,0.075
"P07","A Sergio Massa",0.199,0.196,0.199,0.27
"P07","A algún candidato del peronismo",0.084,0.091,0.111,0.137
"P07","A algún candidato del kirchnerismo",0.455,0.593,0.555,0.518
"P08","A Daniel Scioli",0.138,0.063,0.089,0.125
"P08","A Sergio Massa",0.163,0.145,0.158,0.135
"P08","A algún candidato del peronismo",0.087,0.09,0.106,0.065
"P08","A Cristina Fernández de Kirchner",0.612,0.702,0.647,0.675
"P09","A Horacio Rodriguez Larreta",0.308,0.304,0.293,0.334
"P09","A Patricia Bullrich",0.619,0.614,0.582,0.561
"P09","A Facundo Manes",0.04,0.044,0.079,0.042
"P09","A Gerardo Morales",0.033,0.038,0.046,0.063
"P10","Leandro Santoro por el Frente de Todos",0.276,0.255,0.248,0.234
"P10","Jorge Macri por Juntos por el Cambio",0.298,0.273,0.211,0.192
"P10","Martín Lousteau por Juntos por el Cambio",0.172,0.199,0.182,0.146
"P10","Ramiro Marra por La Libertad Avanza",0.101,0.085,0.108,0.177
"P10","Al candidato del Frente de Izquierda",0.014,0.031,0.033,0.029
"P10","A Luis Zamora por Autodeterminación y Libertad",0.024,0.019,0.03,0.024
"P10","En blanco",0.043,0.034,0.038,0.074
"P10","No sabe",0.072,0.104,0.15,0.124
"P11","María Eugenia Vidal por Juntos por el Cambio",0.267,0.22,0.197,0.181
"P11","Martín Lousteau por Juntos por el Cambio",0.195,0.22,0.178,0.167
"P11","Leandro Santoro por el Frente de Todos",0.268,0.263,0.27,0.237
"P11","Ramiro Marra por La Libertad Avanza",0.114,0.11,0.111,0.173
"P11","Al candidato del Frente de Izquierda",0.017,0.029,0.03,0.037
"P11","A Luis Zamora por Autodeterminación y Libertad",0.022,0.022,0.029,0.011
"P11","En blanco",0.034,0.039,0.049,0.038
"P11","No sabe",0.083,0.097,0.136,0.156
"P12","A Jorge Macri por Juntos por el Cambio",0.247,0.211,0.168,0.155
"P12","A Martín Lousteau por Juntos por el Cambio",0.139,0.172,0.155,0.123
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.11,0.142,0.127,0.113
"P12","A Leandro Santoro por el Frente de Todos",0.236,0.216,0.241,0.172
"P12","A Matías Lammens por el Frente de Todos",0.062,0.058,0.045,0.07
"P12","A Ramiro Marra por La Libertad Avanza",0.087,0.067,0.086,0.169
"P12","Al candidato del Frente de Izquierda",0.013,0.026,0.027,0.015
"P12","A Luis Zamora por Autodeterminación y Libertad",0.032,0.031,0.046,0.034
"P12","En blanco",0.017,0.026,0.031,0.063
"P12","No sabe",0.057,0.051,0.074,0.086
"P13","A Martín Lousteau por Juntos por el Cambio",0.151,0.172,0.15,0.157
"P13","A Jorge Macri por Juntos por el Cambio",0.24,0.209,0.173,0.153
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.135,0.116,0.119,0.113
"P13","A Leandro Santoro por el Frente de Todos",0.225,0.221,0.24,0.193
"P13","A Pedro Rosemblat por el Frente de Todos",0.056,0.08,0.07,0.051
"P13","A Ramiro Marra por La Libertad Avanza",0.082,0.077,0.092,0.127
"P13","Al candidato del Frente de Izquierda",0.018,0.028,0.033,0.032
"P13","A Luis Zamora por Autodeterminación y Libertad",0.023,0.029,0.036,0.063
"P13","En blanco",0.02,0.017,0.029,0.03
"P13","No sabe",0.05,0.051,0.058,0.081
"P14","A Leandro Santoro por el Frente de Todos",0.221,0.241,0.247,0.208
"P14","A Pedro Rosemblat por el Frente de Todos",0.064,0.08,0.07,0.081
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.265,0.208,0.195,0.191
"P14","A Martín Lousteau por Juntos por el Cambio",0.183,0.198,0.167,0.15
"P14","A Ramiro Marra por La Libertad Avanza",0.112,0.104,0.118,0.133
"P14","Al candidato del Frente de Izquierda",0.027,0.026,0.036,0.045
"P14","A Luis Zamora por Autodeterminación y Libertad",0.018,0.027,0.032,0.061
"P14","En blanco",0.045,0.047,0.05,0.048
"P14","No sabe",0.065,0.069,0.085,0.083
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.275,0.292,0.315,0.252
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.327,0.284,0.256,0.239
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.177,0.185,0.138,0.174
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.126,0.096,0.135,0.159
