"var","categoria","A Martín Lousteau por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","A Leandro Santoro por el Frente de Todos","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.207,0.198,0.18,0.239,0.136,0.139,0.182
"P04","Casi siempre",0.472,0.43,0.443,0.405,0.377,0.439,0.436
"P04","Casi nunca",0.263,0.298,0.293,0.312,0.448,0.344,0.305
"P04","Nunca, pero esta es una excepción",0.058,0.074,0.084,0.044,0.039,0.078,0.077
"P06","Del Frente de Todos y el peronismo",0.077,0.067,0.839,0.161,0.321,0.079,0.116
"P06","De Cambiemos",0.748,0.2,0.066,0.034,0.239,0.632,0.56
"P06","De los Liberales libertarios",0.083,0.692,0.019,0.188,0.176,0.126,0.135
"P06","De la Izquierda",0.02,0.016,0.038,0.55,0.162,0.033,0.031
"P06","No sabe",0.072,0.025,0.038,0.067,0.102,0.13,0.158
"P07","A Daniel Scioli",0.268,0.293,0.128,0.312,0.031,0.084,0.195
"P07","A Sergio Massa",0.436,0.042,0.204,0.104,0.226,0.459,0.209
"P07","A algún candidato del peronismo",0.197,0.409,0.059,0.143,0.065,0.18,0.082
"P07","A algún candidato del kirchnerismo",0.099,0.256,0.609,0.441,0.678,0.277,0.514
"P08","A Daniel Scioli",0.264,0.258,0.064,0,0.031,0,0.101
"P08","A Sergio Massa",0.358,0.02,0.131,0.034,0.18,0.407,0.339
"P08","A algún candidato del peronismo",0.229,0.485,0.059,0.171,0.087,0.164,0.101
"P08","A Cristina Fernández de Kirchner",0.149,0.237,0.746,0.795,0.702,0.429,0.459
"P09","A Horacio Rodriguez Larreta",0.336,0.099,0.279,0,0.297,0.167,0.161
"P09","A Patricia Bullrich",0.59,0.87,0.197,0.741,0.505,0.814,0.772
"P09","A Facundo Manes",0.028,0,0.48,0,0.099,0.014,0.035
"P09","A Gerardo Morales",0.046,0.031,0.044,0.259,0.099,0.005,0.032
"P10","Leandro Santoro por el Frente de Todos",0.018,0.038,0.869,0.058,0.054,0.052,0.043
"P10","Jorge Macri por Juntos por el Cambio",0.405,0.244,0.024,0.112,0.142,0.592,0.435
"P10","Martín Lousteau por Juntos por el Cambio",0.506,0.036,0.029,0.03,0.072,0.063,0.051
"P10","Ramiro Marra por La Libertad Avanza",0.01,0.601,0.004,0.067,0.151,0.004,0.028
