"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Horacio Rodriguez Larreta","Positiva",0.398,0.377,0.417,0.364,0.378,0.443,0.445,0.355,0.411,0.433,0.4,0.438,0.378,0.176,0.77,0.462,0.169,0.808,0.67,0.255,0.083,0.308,0.181,0.027,0.009,0.43
"Horacio Rodriguez Larreta","Neutra",0.178,0.183,0.174,0.174,0.172,0.203,0.162,0.11,0.25,0.151,0.15,0.236,0.183,0.191,0.124,0.127,0.182,0.104,0.201,0.258,0.372,0.338,0,0.211,0.391,0.152
"Horacio Rodriguez Larreta","Negativa",0.386,0.416,0.358,0.449,0.412,0.301,0.337,0.448,0.328,0.398,0.421,0.281,0.394,0.601,0.101,0.411,0.646,0.075,0.102,0.363,0.545,0.354,0.683,0.762,0.342,0.362
"Horacio Rodriguez Larreta","No sabe",0.038,0.024,0.051,0.013,0.038,0.053,0.056,0.087,0.011,0.018,0.029,0.045,0.045,0.032,0.005,0,0.003,0.013,0.027,0.124,0,0,0.136,0,0.258,0.056
"Alberto Fernandez","Positiva",0.309,0.248,0.366,0.298,0.306,0.344,0.281,0.423,0.283,0.204,0.334,0.263,0.305,0.598,0.025,0.007,0.696,0.012,0.169,0.18,0,0.03,0.131,0.138,0.424,0.293
"Alberto Fernandez","Neutra",0.125,0.103,0.144,0.131,0.117,0.107,0.167,0.103,0.108,0.18,0.081,0.151,0.16,0.151,0.075,0.021,0.087,0.075,0.074,0.148,0.445,0,0.626,0.307,0.053,0.16
"Alberto Fernandez","Negativa",0.54,0.632,0.457,0.571,0.531,0.545,0.51,0.423,0.597,0.601,0.563,0.555,0.508,0.246,0.897,0.921,0.213,0.902,0.749,0.672,0.555,0.97,0.243,0.412,0.468,0.5
"Alberto Fernandez","No sabe",0.026,0.017,0.033,0,0.046,0.004,0.042,0.051,0.012,0.015,0.022,0.031,0.027,0.005,0.003,0.051,0.004,0.011,0.008,0,0,0,0,0.143,0.055,0.047
"CFK","Positiva",0.318,0.265,0.366,0.253,0.325,0.343,0.364,0.453,0.26,0.238,0.325,0.239,0.347,0.607,0.019,0,0.664,0.032,0.073,0.183,0,0.002,0.519,0.188,0.459,0.358
"CFK","Neutra",0.084,0.048,0.117,0.057,0.093,0.105,0.064,0.092,0.089,0.065,0.051,0.149,0.089,0.114,0.03,0.01,0.116,0.033,0.068,0,0.379,0,0.132,0.126,0.062,0.112
"CFK","Negativa",0.577,0.671,0.491,0.69,0.544,0.55,0.539,0.398,0.651,0.689,0.618,0.57,0.537,0.273,0.947,0.99,0.218,0.924,0.851,0.817,0.621,0.998,0.349,0.56,0.424,0.502
"CFK","No sabe",0.021,0.016,0.026,0,0.038,0.002,0.033,0.057,0,0.008,0.006,0.042,0.027,0.006,0.004,0,0.002,0.011,0.008,0,0,0,0,0.126,0.055,0.028
"Mauricio Macri","Positiva",0.249,0.234,0.263,0.334,0.176,0.269,0.306,0.183,0.277,0.29,0.276,0.236,0.226,0.085,0.601,0.066,0.077,0.648,0.343,0,0,0.289,0,0,0.01,0.245
"Mauricio Macri","Neutra",0.192,0.188,0.196,0.151,0.212,0.203,0.18,0.158,0.219,0.192,0.145,0.248,0.217,0.113,0.23,0.017,0.13,0.158,0.416,0.252,0,0.082,0.244,0.34,0.169,0.147
"Mauricio Macri","Negativa",0.537,0.555,0.52,0.515,0.601,0.472,0.477,0.606,0.495,0.516,0.562,0.478,0.536,0.774,0.168,0.917,0.793,0.184,0.241,0.586,1,0.629,0.756,0.66,0.738,0.578
"Mauricio Macri","No sabe",0.022,0.023,0.021,0,0.011,0.056,0.037,0.053,0.009,0.002,0.017,0.038,0.021,0.028,0.001,0,0,0.01,0,0.162,0,0,0,0,0.083,0.03
"Malena Galmarini","Positiva",0.203,0.185,0.218,0.141,0.192,0.26,0.241,0.24,0.181,0.189,0.182,0.114,0.264,0.343,0.063,0.36,0.35,0.089,0.104,0.331,0.083,0.032,0.157,0.047,0.009,0.263
"Malena Galmarini","Neutra",0.244,0.236,0.251,0.277,0.244,0.189,0.276,0.195,0.272,0.26,0.226,0.297,0.239,0.341,0.138,0.158,0.301,0.099,0.151,0.336,0.385,0.059,0.6,0.326,0.334,0.28
"Malena Galmarini","Negativa",0.492,0.533,0.456,0.545,0.493,0.528,0.35,0.462,0.516,0.496,0.557,0.477,0.431,0.266,0.762,0.475,0.286,0.766,0.721,0.333,0.532,0.682,0.243,0.627,0.365,0.372
"Malena Galmarini","No sabe",0.061,0.046,0.075,0.037,0.071,0.023,0.133,0.103,0.031,0.055,0.035,0.112,0.066,0.05,0.037,0.007,0.063,0.046,0.024,0,0,0.227,0,0,0.292,0.085
