"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"A Tolosa Paz por el Frente de Todos",0.317,0.223,0.404,0.253,0.319,0.374,0.334,0.396,0.297,0.245,0.307,0.339,0.319,0.611,0.08,0,0.76,0.105,0.069,0.145,0.068,0.002,0,0.142,0.15,0.274
"A Santilli y Manes por Juntos",0.399,0.453,0.35,0.457,0.336,0.442,0.425,0.342,0.418,0.445,0.395,0.419,0.395,0.189,0.802,0.316,0.123,0.842,0.781,0.035,0.056,0.163,0.206,0.228,0.04,0.395
"A del Caño por el Frente de Izquierda",0.068,0.053,0.082,0.075,0.077,0.038,0.078,0.065,0.043,0.117,0.026,0.05,0.12,0.075,0.008,0.158,0.055,0.01,0.024,0,0.876,0.04,0.499,0.16,0,0.107
"A Espert por Avanza libertad",0.073,0.095,0.052,0.102,0.071,0.065,0.038,0.054,0.068,0.105,0.121,0.046,0.033,0.04,0.064,0.363,0.004,0.023,0.071,0.325,0,0.721,0,0.118,0.01,0.131
"A Randazzo por ""Vamos con vos""",0.035,0.049,0.022,0.037,0.046,0.02,0.023,0.017,0.065,0.008,0.071,0.02,0.004,0.034,0.014,0.151,0.016,0.003,0.018,0.263,0,0.018,0,0,0.18,0.016
"A Hotton por “+Valores”",0.012,0.018,0.006,0.001,0.015,0.01,0.025,0.004,0.008,0.028,0.01,0.008,0.015,0.008,0.005,0,0.008,0.005,0,0.038,0,0.054,0.295,0.012,0,0.009
"Votaría en blanco o anularía",0.096,0.109,0.084,0.075,0.136,0.051,0.077,0.122,0.101,0.052,0.07,0.118,0.114,0.043,0.027,0.012,0.034,0.012,0.037,0.194,0,0.002,0,0.34,0.62,0.068
