"var","categoria","No alcanzan para cubrir las necesidades básicas familiares","Solo alcanzan para cubrir las necesidades básicas familiares","No alcanzan para cubrir los gastos totales de la familia","Alcanzan para cubrir los gastos totales de la familia","Tenemos un pequeño excedente, pero es excepcional","Tenemos un pequeño excedente habitual que ahorramos o invertimos","Tenemos un gran excedente pero es excepcional","Tenemos un gran excedente habitual que ahorramos o invertimos","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.373,0.152,0.097,0,0.398,0,0,0,0.094
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.142,0.342,0.129,0.108,0.602,0,0,0,0
"P09","Nunca voy a votar",0.031,0,0.304,0,0,0,0,0,0
"P09","Por miedo a la pandemia",0.249,0.258,0.385,0.765,0,0,0,0,0.383
"P09","Porque las PASO no son elecciones importantes",0.205,0.248,0.085,0.127,0,1,0,0,0.523
"P14","A Tolosa Paz por el Frente de Todos",0.272,0.342,0.318,0.397,0.428,0.433,0,0.039,0.196
"P14","A Santilli y Manes por Juntos",0.355,0.476,0.374,0.409,0.383,0.23,0.551,0.441,0.172
"P14","A del Caño por el Frente de Izquierda",0.12,0.047,0.056,0.024,0.086,0.039,0,0.025,0
"P14","A Espert por Avanza libertad",0.105,0.021,0.061,0.117,0.078,0.225,0,0.021,0.108
"P14","A Randazzo por ""Vamos con vos""",0.028,0.046,0.038,0.038,0,0,0,0,0.067
"P14","A Hotton por “+Valores”",0.003,0.002,0.036,0,0.025,0.053,0,0.145,0.05
"P14","Votaría en blanco o anularía",0.117,0.066,0.117,0.015,0,0.02,0.449,0.329,0.407
"P16","A Segundo cernadas por Juntos",0.379,0.478,0.372,0.409,0.383,0.23,0.551,0.441,0.172
"P16","A Gisela Zamora por el frente de todos",0.27,0.348,0.318,0.389,0.428,0.433,0,0.039,0.196
"P16","A Juan José Cervetto por avanza libertad",0.083,0.021,0.061,0.114,0.078,0.225,0,0.021,0.108
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.12,0.05,0.056,0.032,0.086,0.039,0,0.025,0
"P16","A Matias Orfo por Vamos con vos",0.028,0.037,0.038,0.038,0,0,0,0,0.067
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.003,0.005,0.036,0,0.025,0.053,0,0.145,0.05
"P16","En blanco o anularía",0.117,0.061,0.119,0.018,0,0.02,0.449,0.329,0.407
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.405,0.435,0.354,0.404,0.585,0.243,0.551,0.441,0.231
"P18","Victoria Tolosa Paz por el Frente de todos",0.196,0.381,0.304,0.338,0.219,0.49,0,0.039,0.11
"P18","Nicolás del Caño por el Frente de Izquierda",0.078,0.029,0.047,0.066,0.086,0.025,0,0.145,0.11
"P18","José Luis Espert por “Avanza Libertad”",0.104,0.02,0.08,0.046,0.078,0.129,0,0.021,0.025
"P18","Florencio Randazzo por “Vamos con vos”",0.02,0.068,0.038,0.006,0,0,0,0,0.068
"P18","Cynthia Hotton por “+Valores”",0.047,0.006,0.027,0,0,0.053,0,0.025,0.05
"P18","Ninguna en particular",0.085,0.048,0.053,0.133,0.032,0.06,0.449,0.329,0.114
"P18","No sabe",0.065,0.013,0.097,0.007,0,0,0,0,0.292
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.26,0.264,0.351,0.313,0.336,0.433,0,0.184,0.184
"P19","Victoria Tolosa Paz por el Frente de todos",0.481,0.566,0.462,0.43,0.388,0.451,0.208,0.394,0.342
"P19","Nicolás del Caño por el Frente de Izquierda",0.079,0.088,0.013,0.017,0.118,0.06,0,0,0
"P19","José Luis Espert por “Avanza Libertad”",0.027,0.007,0.02,0.107,0.032,0.019,0,0,0.351
"P19","Florencio Randazzo por “Vamos con vos”",0.009,0,0,0,0.032,0,0,0,0
"P19","Cynthia Hotton por “+Valores”",0.007,0.009,0,0.066,0,0.017,0,0,0
"P19","Ninguna en particular",0.1,0.057,0.092,0.06,0.046,0.02,0.792,0.093,0.114
"P19","No sabe",0.037,0.009,0.062,0.007,0.048,0,0,0.329,0.009
"P21","La inflación",0.302,0.202,0.325,0.244,0.222,0.401,0,0.069,0.082
"P21","El desempleo",0.101,0.188,0.089,0.075,0.099,0.048,0,0.402,0.111
"P21","La corrupción",0.48,0.391,0.33,0.162,0.298,0.233,0.615,0,0.124
"P21","La inseguridad",0.027,0.017,0.126,0.173,0.02,0.016,0,0,0.036
"P21","El precio del dólar",0.013,0.001,0.021,0.027,0.103,0.039,0,0.024,0
"P21","La pobreza",0.042,0.077,0.053,0.078,0,0.165,0.385,0.021,0.366
"P21","El narcotráfico",0.008,0.011,0.002,0.007,0,0,0,0,0
"P21","Las tarifas",0.003,0.076,0.043,0.003,0.129,0.044,0,0.301,0.067
"P21","Otro",0.014,0.025,0.007,0.116,0.015,0.054,0,0.183,0.214
"P21","No sabe",0.01,0.012,0.004,0.115,0.114,0,0,0,0
"P22","Muy buena",0.143,0.12,0.252,0.236,0.207,0.067,0,0.037,0.186
"P22","Buena",0.112,0.108,0.129,0.185,0.238,0.359,0.421,0,0.335
"P22","Ni buena ni mala",0.17,0.128,0.099,0.074,0.084,0.105,0,0.227,0.048
"P22","Mala",0.085,0.178,0.099,0.131,0.054,0.11,0.384,0.322,0
"P22","Muy mala",0.467,0.424,0.421,0.368,0.417,0.359,0.195,0.414,0.249
"P22","No sabe",0.023,0.042,0,0.006,0,0,0,0,0.182
"P23","Muy buena",0.156,0.152,0.318,0.18,0.245,0.369,0,0.037,0.062
"P23","Buena",0.074,0.111,0.088,0.216,0.203,0.196,0.419,0.297,0.493
"P23","Ni buena ni mala",0.108,0.076,0.052,0.074,0.071,0,0.381,0,0.06
"P23","Mala",0.053,0.049,0.017,0,0.054,0,0,0.252,0
"P23","Muy mala",0.595,0.572,0.525,0.524,0.427,0.435,0.2,0.414,0.25
"P23","No sabe",0.014,0.04,0,0.006,0,0,0,0,0.135
"P24","Muy buena",0.058,0.044,0.116,0.191,0.172,0.036,0,0.037,0
"P24","Buena",0.137,0.15,0.208,0.096,0.2,0.263,0,0.298,0.167
"P24","Ni buena ni mala",0.179,0.118,0.172,0.104,0.113,0.103,0.378,0,0.392
"P24","Mala",0.128,0.137,0.108,0.194,0.133,0.148,0,0.069,0.034
"P24","Muy mala",0.482,0.55,0.329,0.415,0.382,0.45,0.622,0.596,0.275
"P24","No sabe",0.016,0.001,0.067,0,0,0,0,0,0.132
"P25","Muy buena",0.16,0.101,0.167,0.128,0.219,0.088,0,0.026,0.055
"P25","Buena",0.096,0.142,0.069,0.097,0.082,0.096,0.581,0.388,0.125
"P25","Ni buena ni mala",0.228,0.227,0.195,0.115,0.183,0.077,0,0.069,0.01
"P25","Mala",0.171,0.151,0.226,0.098,0.101,0.225,0,0.022,0.064
"P25","Muy mala",0.327,0.379,0.326,0.491,0.415,0.514,0.419,0.495,0.606
"P25","No sabe",0.018,0,0.017,0.071,0,0,0,0,0.14
"P26","Muy buena",0.25,0.194,0.181,0.149,0.32,0.187,0.203,0.414,0.073
"P26","Buena",0.18,0.202,0.167,0.217,0.236,0.157,0.381,0.092,0.132
"P26","Ni buena ni mala",0.175,0.248,0.164,0.143,0.071,0.138,0,0,0.117
"P26","Mala",0.109,0.116,0.255,0.055,0.187,0.133,0,0.038,0
"P26","Muy mala",0.266,0.237,0.162,0.367,0.186,0.385,0.416,0.16,0.445
"P26","No sabe",0.02,0.003,0.071,0.069,0,0,0,0.296,0.233
"P27","Muy buena",0.033,0.076,0.183,0.061,0.301,0.048,0,0,0
"P27","Buena",0.121,0.057,0.126,0.18,0.34,0.221,0,0.038,0.124
"P27","Ni buena ni mala",0.247,0.271,0.221,0.176,0.075,0.318,0.392,0.361,0.401
"P27","Mala",0.086,0.142,0.044,0.095,0.01,0.198,0.409,0.022,0.088
"P27","Muy mala",0.425,0.429,0.342,0.448,0.263,0.175,0.199,0.553,0.233
"P27","No sabe",0.088,0.025,0.084,0.04,0.011,0.04,0,0.026,0.154
