"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"Diego Santilli y Facundo Manes por “Juntos”",0.401,0.436,0.37,0.436,0.33,0.493,0.416,0.329,0.402,0.497,0.369,0.403,0.435,0.201,0.803,0.304,0.152,0.87,0.859,0.115,0.116,0.249,0.191,0.115,0.01,0.314
"Victoria Tolosa Paz por el Frente de todos",0.275,0.222,0.325,0.231,0.284,0.263,0.349,0.329,0.269,0.215,0.29,0.304,0.248,0.532,0.085,0,0.681,0.058,0.054,0.023,0,0,0.511,0.081,0.058,0.3
"Nicolás del Caño por el Frente de Izquierda",0.055,0.044,0.065,0.053,0.055,0.07,0.034,0.066,0.033,0.078,0.025,0.035,0.095,0.061,0.007,0.189,0.041,0.019,0.019,0.112,0.483,0.002,0.1,0.139,0,0.066
"José Luis Espert por “Avanza Libertad”",0.066,0.073,0.058,0.073,0.079,0.056,0.025,0.043,0.066,0.096,0.116,0.027,0.029,0.034,0.071,0.108,0.006,0.026,0.043,0.424,0,0.705,0,0.167,0,0.045
"Florencio Randazzo por “Vamos con vos”",0.035,0.071,0.003,0.067,0.023,0.027,0.033,0.02,0.049,0.034,0.048,0.021,0.028,0.032,0.005,0.152,0.008,0,0.018,0.15,0,0.019,0,0,0.379,0.021
"Cynthia Hotton por “+Valores”",0.034,0.035,0.032,0.038,0.044,0.018,0.02,0.02,0.049,0.024,0.033,0.005,0.047,0.039,0.01,0,0.055,0.01,0,0.034,0,0.023,0.198,0.118,0,0.012
"Ninguna en particular",0.081,0.089,0.073,0.05,0.114,0.048,0.082,0.112,0.088,0.026,0.074,0.119,0.072,0.047,0.016,0.238,0.012,0.014,0,0.142,0.045,0,0,0.204,0.302,0.194
"No sabe",0.053,0.03,0.074,0.052,0.071,0.025,0.041,0.081,0.044,0.03,0.045,0.086,0.046,0.054,0.003,0.009,0.045,0.003,0.007,0,0.356,0.002,0,0.176,0.251,0.048
