"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Luis Petri","Muy buena",0.183,0.18,0.187,0.158,0.15,0.23,0.213,0.155,0.201,0.186,0.073,0.268,0.071,0.264,0.071,0.083,0.122
"Luis Petri","Buena",0.192,0.211,0.171,0.103,0.178,0.231,0.258,0.18,0.176,0.219,0.102,0.288,0.167,0.281,0.084,0.133,0.02
"Luis Petri","Ni buena ni mala",0.297,0.254,0.344,0.342,0.282,0.291,0.293,0.316,0.316,0.261,0.329,0.245,0.398,0.283,0.304,0.397,0.268
"Luis Petri","Mala",0.117,0.13,0.103,0.175,0.126,0.085,0.085,0.122,0.106,0.126,0.104,0.116,0.128,0.087,0.126,0.184,0.172
"Luis Petri","Muy mala",0.124,0.142,0.105,0.139,0.139,0.104,0.106,0.094,0.121,0.153,0.297,0.026,0.143,0.035,0.326,0.167,0.287
"Luis Petri","No sabe",0.087,0.083,0.09,0.083,0.125,0.059,0.045,0.133,0.08,0.055,0.095,0.057,0.093,0.05,0.089,0.036,0.131
"Alfredo Cornejo","Muy buena",0.227,0.225,0.229,0.19,0.189,0.226,0.355,0.175,0.232,0.269,0.025,0.379,0.274,0.376,0.021,0.114,0.309
"Alfredo Cornejo","Buena",0.156,0.16,0.151,0.114,0.164,0.18,0.155,0.147,0.158,0.161,0.095,0.225,0.101,0.226,0.07,0.042,0.016
"Alfredo Cornejo","Ni buena ni mala",0.192,0.159,0.227,0.22,0.217,0.14,0.176,0.21,0.191,0.178,0.132,0.193,0.287,0.179,0.136,0.151,0.092
"Alfredo Cornejo","Mala",0.172,0.19,0.154,0.135,0.172,0.22,0.15,0.249,0.152,0.127,0.216,0.14,0.185,0.148,0.193,0.334,0.104
"Alfredo Cornejo","Muy mala",0.224,0.249,0.198,0.268,0.233,0.225,0.153,0.18,0.247,0.237,0.512,0.059,0.153,0.068,0.556,0.351,0.412
"Alfredo Cornejo","No sabe",0.029,0.017,0.041,0.073,0.025,0.009,0.011,0.039,0.02,0.028,0.02,0.004,0,0.003,0.024,0.008,0.067
"Omar De Marchi","Muy buena",0.125,0.138,0.11,0.072,0.14,0.162,0.095,0.122,0.115,0.138,0.062,0.154,0.093,0.159,0.039,0.222,0.06
"Omar De Marchi","Buena",0.174,0.182,0.165,0.127,0.176,0.204,0.177,0.163,0.157,0.202,0.106,0.21,0.268,0.219,0.08,0.141,0.067
"Omar De Marchi","Ni buena ni mala",0.305,0.285,0.328,0.29,0.255,0.316,0.413,0.307,0.339,0.267,0.323,0.289,0.361,0.306,0.333,0.246,0.322
"Omar De Marchi","Mala",0.166,0.174,0.157,0.2,0.153,0.18,0.138,0.164,0.137,0.2,0.163,0.194,0.183,0.178,0.177,0.252,0.15
"Omar De Marchi","Muy mala",0.166,0.174,0.158,0.209,0.2,0.096,0.146,0.156,0.17,0.17,0.304,0.11,0.069,0.105,0.324,0.127,0.322
"Omar De Marchi","No sabe",0.064,0.047,0.082,0.102,0.076,0.042,0.031,0.088,0.082,0.023,0.042,0.043,0.026,0.033,0.047,0.012,0.079
"Daniel Orozco","Muy buena",0.07,0.093,0.045,0.114,0.073,0.051,0.044,0.061,0.077,0.072,0.029,0.088,0.14,0.095,0.022,0.128,0
"Daniel Orozco","Buena",0.103,0.095,0.112,0.063,0.077,0.123,0.173,0.076,0.1,0.129,0.062,0.125,0.219,0.131,0.053,0.175,0.022
