"var","categoria","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda"
"P08","Del Frente de Todos y el peronismo",0.098,0.021,0.292,0.609,0.7,0.179,0.38,0.114,0.014
"P08","De Juntos por el cambio",0.535,0.427,0.192,0.088,0.038,0.114,0.162,0.08,0.111
"P08","De los Liberales libertarios",0.197,0.332,0.326,0.151,0.08,0.363,0.168,0.067,0.344
"P08","De la Izquierda",0.016,0.011,0.001,0.017,0.02,0,0.165,0.615,0.174
"P08","No sabe",0.154,0.209,0.189,0.135,0.162,0.344,0.125,0.124,0.357
"P09","A Sergio Massa",0.183,0.277,0.42,0.21,0.278,0.315,0.455,0.086,0
"P09","A Daniel Scioli",0.189,0.068,0.134,0.08,0.166,0,0,0.547,1
"P09","A algún candidato del peronismo",0.338,0.061,0.15,0.168,0.136,0.102,0.12,0,0
"P09","A algún candidato del kirchnerismo",0.29,0.594,0.296,0.542,0.42,0.583,0.425,0.367,0
"P10","A Horacio Rodriguez Larreta",0.233,0.075,0.184,0.052,0,0.047,0.054,0.878,0.582
"P10","A Patricia Bullrich",0.621,0.887,0.572,0.421,1,0.892,0.898,0.122,0.295
"P10","A Facundo Manes",0.098,0.025,0.155,0.084,0,0.061,0.048,0,0
"P10","A Gerardo Morales",0.048,0.013,0.089,0.443,0,0,0,0,0.123
"P11","Alfredo Cornejo por Cambia Mendoza",0.682,0.317,0.165,0.183,0.043,0.239,0.186,0.075,0.023
"P11","Luis Petri por Cambia Mendoza",0.067,0.427,0.093,0.083,0.077,0.122,0.022,0.057,0.18
"P11_imputadas","Omar De Marchi por La Unión Mendocina",0.132,0.143,0.521,0.145,0.086,0.311,0.162,0.084,0.014
"P11_imputadas","Omar Parisi por Elegí Mendoza",0.037,0.023,0.111,0.425,0.172,0.143,0.059,0,0.199
"P11_imputadas","Guillermo Carmona por Elegí Mendoza",0.022,0.077,0.061,0.059,0.559,0.054,0.026,0,0.061
"P11_imputadas","Nicolás Guillén por Elegí Mendoza",0.015,0.005,0.006,0.029,0.008,0.096,0,0.023,0.128
"P11_imputadas","Alfredo Guevara por Elegí Mendoza",0.031,0.008,0.024,0.05,0.038,0,0.545,0.03,0
"P11_imputadas","Lautaro Giménez por el Frente de Izquierda",0.014,0,0.009,0.002,0.002,0,0,0.72,0.079
"P11_imputadas","Victor da Vila por el Frente de Izquierda",0,0,0.01,0.024,0.015,0.035,0,0.011,0.316
"P17_imputadas","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.502,0.268,0.125,0.094,0.053,0.16,0.112,0,0.051
"P17_imputadas","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.05,0.314,0.07,0.023,0.036,0.033,0.024,0.012,0.063
"P17_imputadas","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.175,0.28,0.482,0.229,0.078,0.372,0.206,0.145,0.38
"P17_imputadas","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.052,0.054,0.188,0.49,0.379,0.25,0.166,0.008,0
"P17_imputadas","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.029,0.015,0.069,0.099,0.409,0.025,0.03,0.01,0.016
"P17_imputadas","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.021,0.004,0.013,0.015,0.012,0.08,0,0.15,0.067
"P17_imputadas","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.161,0.057,0.044,0.031,0.026,0.025,0.454,0.077,0.237
