"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Alfredo Cornejo por Cambia Mendoza",0.322,0.301,0.342,0.313,0.285,0.344,0.388,0.277,0.337,0.351,0.127,0.506,0.222,0.489,0.081,0.144,0.117
"Luis Petri por Cambia Mendoza",0.159,0.148,0.169,0.076,0.178,0.199,0.191,0.169,0.157,0.15,0.089,0.207,0.111,0.195,0.09,0.096,0.051
"Omar De Marchi por La Unión Mendocina",0.217,0.258,0.177,0.239,0.27,0.174,0.12,0.23,0.199,0.226,0.212,0.172,0.409,0.211,0.144,0.38,0.272
"Omar Parisi por Elegí Mendoza",0.113,0.1,0.126,0.186,0.084,0.084,0.107,0.119,0.124,0.093,0.296,0.027,0.035,0.022,0.355,0.113,0.012
"Guillermo Carmona por Elegí Mendoza",0.095,0.106,0.086,0.085,0.086,0.107,0.118,0.087,0.102,0.096,0.165,0.047,0.089,0.038,0.22,0.08,0.04
"Nicolás Guillén por Elegí Mendoza",0.016,0.019,0.013,0.028,0.015,0.008,0.009,0.01,0.022,0.015,0.016,0.014,0.012,0.012,0.018,0.01,0.028
"Alfredo Guevara por Elegí Mendoza",0.04,0.039,0.041,0.022,0.049,0.057,0.024,0.047,0.035,0.039,0.07,0.015,0.06,0.018,0.077,0.088,0.014
"Lautaro Giménez por el Frente de Izquierda",0.025,0.018,0.031,0.047,0.016,0.009,0.031,0.039,0.015,0.021,0.016,0.006,0.046,0.011,0.008,0.055,0.404
"Victor da Vila por el Frente de Izquierda",0.013,0.011,0.015,0.004,0.017,0.018,0.012,0.022,0.009,0.009,0.009,0.006,0.016,0.004,0.007,0.034,0.062
