"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P08","Del Frente de Todos y el peronismo",0.368,0.329,0.193,0.317
"P08","De Juntos por el cambio",0.128,0.091,0.416,0.207
"P08","De los Liberales libertarios",0.111,0.184,0.278,0.233
"P08","De la Izquierda",0.363,0.051,0.019,0.006
"P08","No sabe",0.03,0.345,0.094,0.237
"P09","A Sergio Massa",0.202,0.508,0.269,0.284
"P09","A Daniel Scioli",0.422,0.073,0.128,0.097
"P09","A algún candidato del peronismo",0.215,0.118,0.138,0.124
"P09","A algún candidato del kirchnerismo",0.161,0.301,0.465,0.495
"P10","A Horacio Rodriguez Larreta",0.712,0.141,0.142,0.197
"P10","A Patricia Bullrich",0,0.796,0.747,0.655
"P10","A Facundo Manes",0,0.063,0.043,0.095
"P10","A Gerardo Morales",0.288,0,0.068,0.053
"P11","Alfredo Cornejo por Cambia Mendoza",0.122,0.124,0.34,0.194
"P11","Luis Petri por Cambia Mendoza",0,0.034,0.172,0.121
"P11","Omar De Marchi por La Unión Mendocina",0.226,0.144,0.178,0.134
"P11","Omar Parisi por Elegí Mendoza",0,0.15,0.087,0.085
"P11","Guillermo Carmona por Elegí Mendoza",0.079,0.022,0.069,0.126
"P11","Nicolás Guillén por Elegí Mendoza",0,0.005,0.015,0.026
"P11","Alfredo Guevara por Elegí Mendoza",0.101,0.17,0.015,0.036
"P11","Lautaro Giménez por el Frente de Izquierda",0.353,0.016,0.007,0.007
"P11","Victor da Vila por el Frente de Izquierda",0.07,0.059,0.008,0.014
"P11","No sabe",0.049,0.276,0.109,0.257
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.404,0.087,0.267,0.199
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0,0.085,0.258,0.198
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.076,0.246,0.198,0.168
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.235,0.166,0.114,0.107
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.1,0.013,0.045,0.108
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0,0.14,0.018,0.028
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.025,0.078,0.013,0.027
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0,0.016,0.004,0.007
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.061,0,0.01,0.005
"P14","No sabe",0.099,0.169,0.073,0.153
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0,0.031,0.296,0.176
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.148,0.155,0.128,0.073
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.128,0.136,0.241,0.226
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.141,0.277,0.12,0.178
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0,0.028,0.062,0.126
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.021,0.006,0.018,0.013
"P17","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.101,0.141,0.067,0.06
"P17","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.332,0.015,0.011,0.008
"P17","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0.031,0.077,0.001,0
"P17","No sabe",0.098,0.134,0.056,0.14
"P20","Lo votaría",0.343,0.213,0.41,0.268
"P20","Puede que lo vote",0.054,0.259,0.124,0.115
"P20","Nunca lo votaría",0.603,0.431,0.403,0.419
"P20","No sabe",0,0.097,0.063,0.198
"P21","Lo votaría",0.294,0.219,0.223,0.158
"P21","Puede que lo vote",0.087,0.215,0.228,0.21
"P21","Nunca lo votaría",0.594,0.404,0.477,0.311
"P21","No sabe",0.025,0.162,0.072,0.321
"P22","Lo votaría",0.373,0.293,0.184,0.125
"P22","Puede que lo vote",0.194,0.228,0.175,0.221
"P22","Nunca lo votaría",0.409,0.405,0.554,0.341
"P22","No sabe",0.024,0.074,0.087,0.313
"P23","Lo votaría",0.167,0.287,0.1,0.096
"P23","Puede que lo vote",0.318,0.391,0.073,0.184
"P23","Nunca lo votaría",0.081,0.179,0.749,0.333
"P23","No sabe",0.434,0.143,0.078,0.387
"P24","Lo votaría",0.246,0.074,0.082,0.102
"P24","Puede que lo vote",0.209,0.415,0.075,0.195
"P24","Nunca lo votaría",0.393,0.407,0.77,0.307
"P24","No sabe",0.152,0.104,0.073,0.396
"P25","Lo votaría",0.267,0.143,0.018,0.02
"P25","Puede que lo vote",0.303,0.444,0.047,0.088
"P25","Nunca lo votaría",0.376,0.302,0.86,0.32
"P25","No sabe",0.054,0.111,0.075,0.572
"P26","Lo votaría",0.288,0.093,0.012,0.038
"P26","Puede que lo vote",0,0.499,0.041,0.104
"P26","Nunca lo votaría",0.327,0.297,0.877,0.295
