"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.27,0.253,0.287,0.234,0.261,0.286,0.321,0.253,0.289,0.264,0.179,0.374,0.214,0.362,0.09,0.119,0.188
"Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.24,0.252,0.229,0.19,0.256,0.277,0.224,0.233,0.239,0.248,0.109,0.33,0.196,0.323,0.089,0.136,0.053
"Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.196,0.202,0.19,0.208,0.204,0.194,0.161,0.169,0.177,0.249,0.218,0.151,0.449,0.162,0.243,0.383,0.138
"Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.122,0.111,0.133,0.129,0.141,0.084,0.123,0.142,0.129,0.092,0.221,0.063,0.065,0.062,0.268,0.176,0.008
"Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.074,0.091,0.058,0.081,0.068,0.079,0.072,0.088,0.079,0.053,0.188,0.025,0.004,0.025,0.219,0.029,0.02
"Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.03,0.03,0.029,0.055,0.025,0.021,0.017,0.038,0.032,0.018,0.029,0.021,0.044,0.023,0.034,0.026,0.106
"Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.026,0.021,0.031,0.018,0.02,0.037,0.039,0.022,0.021,0.039,0.039,0.022,0.013,0.022,0.048,0.049,0.018
"Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.025,0.023,0.027,0.051,0.013,0.012,0.032,0.033,0.017,0.026,0.014,0.004,0.006,0.015,0.009,0.015,0.399
"Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.017,0.017,0.016,0.034,0.012,0.01,0.011,0.022,0.017,0.011,0.003,0.01,0.009,0.006,0,0.067,0.07
