"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Si",0.512,0.561,0.458,0.455,0.57,0.544,0.41,0.456,0.507,0.566,0.543,0.546,0.527,0.548,0.517,0.547,0.512
"No",0.488,0.439,0.542,0.545,0.43,0.456,0.59,0.544,0.493,0.434,0.457,0.454,0.473,0.452,0.483,0.453,0.488
